Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work,,,,,,,,,
"A S R C AEROSPACE CORPORATION [GREENBELT,MARYLAND]",NNC10E440T,GRC - Glenn Research Center,CLEVELAND,OH,'16',3/31/2010,5/7/2018,", Small Disadvantaged Business, Small Business - Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Delivery Order, Firm Fixed Price",0,"354,006","356,104",541710,N/A,N/A,SINGLE SPOOL TURBINE FACILITY DESIGN AND CONSTRUCTION SUPPORT.  THE SINGLE SPOOL TURBINE FACILITY IS IN THE CONSTRUCTION PHASE. DESIGN WORK WAS COMPLETED UNDER A PREVIOUS TASK. SEVERAL DESIGN ITEMS NEED TO BE MODIFIED AND CONSULTATION IS REQUIRED FOR THE CONSTRUCTION PHASE.,,,,,,,,,
"A S R C AEROSPACE CORPORATION [GREENBELT,MARYLAND]",NNC10E442T,GRC - Glenn Research Center,CLEVELAND,OH,'16',5/5/2010,9/12/2017,", Small Disadvantaged Business, Small Business - Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Delivery Order, Cost Plus Award Fee",0,"404,700","459,232",541710,N/A,N/A,Space Flight Systems Directorate Schedule Integration Support,,,,,,,,,
"A S R C AEROSPACE CORPORATION [GREENBELT,MARYLAND]",NNC10E443T,GRC - Glenn Research Center,CLEVELAND,OH,'16',5/5/2010,8/7/2018,", Small Disadvantaged Business, Small Business - Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Delivery Order, Cost Plus Award Fee",0,"255,947","266,791",541710,N/A,N/A,ENGINEERING DIRECTORATE TASKS AND RESOURCES INTEGRATION ,,,,,,,,,
"A S R C AEROSPACE CORPORATION [GREENBELT,MARYLAND]",NNC10E444T,GRC - Glenn Research Center,CLEVELAND,OH,'16',5/17/2010,8/7/2018,", Small Disadvantaged Business, Small Business - Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Delivery Order, Cost Plus Award Fee",0,"843,670","877,704",541710,N/A,N/A,DEVELOPMENT OF ADVANCED COMPUTATIONAL TOOLS FOR THE SIMULATION OF MULTISTAGE TURBOMACHINERY IN SUPPORT OF AEROPROPULSION,,,,,,,,,
"A S R C AEROSPACE CORPORATION [GREENBELT,MARYLAND]",NNC10E445T,GRC - Glenn Research Center,CLEVELAND,OH,'16',5/5/2010,5/31/2012,", Small Disadvantaged Business, Small Business - Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Delivery Order, Cost Plus Award Fee","-4,723","111,615","115,111",541710,N/A,N/A,DESIGN SUPPORT FOR ULTRA HIGH BYPASS FAN NOISE REDUCTION TECHNOLOGY PHASE 2,,,,,,,,,
"A S R C AEROSPACE CORPORATION [GREENBELT,MARYLAND]",NNC10E448T,GRC - Glenn Research Center,CLEVELAND,OH,'16',4/29/2010,8/7/2018,", Small Disadvantaged Business, Small Business - Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Delivery Order, Cost Plus Fixed Fee",0,"436,771","480,633",541710,N/A,N/A,VECTOR NETWORK ANALYZER CARD DEVELOPMENT,,,,,,,,,
"A S R C AEROSPACE CORPORATION [GREENBELT,MARYLAND]",NNC10E462T,GRC - Glenn Research Center,CLEVELAND,OH,'16',7/28/2010,8/7/2018,", Small Disadvantaged Business, Small Business - Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Delivery Order, Cost Plus Award Fee",0,"518,045","546,398",541710,N/A,N/A,JER REACTIVATION ENGINEERING SUPPORT   ,,,,,,,,,
"A S R C AEROSPACE CORPORATION [GREENBELT,MARYLAND]",NNC10E467T,GRC - Glenn Research Center,CLEVELAND,OH,'16',8/5/2010,8/7/2018,", Small Disadvantaged Business, Small Business - Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Delivery Order, Cost Plus Award Fee",0,"445,377","479,573",541710,N/A,N/A,JER REACTIVATION ENGINEERING SUPPORT   ,,,,,,,,,
"A S R C AEROSPACE CORPORATION [GREENBELT,MARYLAND]",NNC10E469T,GRC - Glenn Research Center,CLEVELAND,OH,'16',9/9/2010,8/7/2018,", Small Disadvantaged Business, Small Business - Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Delivery Order, Cost Plus Award Fee","-3,381","183,657","188,192",541710,N/A,N/A,SEAL DEVELOPMENT PROJECT ENGINEERING SERVICES,,,,,,,,,
"A S R C AEROSPACE CORPORATION [GREENBELT,MARYLAND]",NNC11E472T,GRC - Glenn Research Center,CLEVELAND,OH,'16',11/22/2010,8/7/2018,", Small Disadvantaged Business, Small Business - Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Delivery Order, Cost Plus Award Fee","-2,598","293,979","302,863",541710,N/A,N/A,CONFIGURATION/DATA MANAGEMENT FOR RADIOISOTOPE POWER SYSTEMS (RPS),,,,,,,,,
"A S R C AEROSPACE CORPORATION [GREENBELT,MARYLAND]",NNC11E475T,GRC - Glenn Research Center,CLEVELAND,OH,'16',2/1/2011,4/20/2017,", Small Disadvantaged Business, Small Business - Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Delivery Order, Cost Plus Award Fee",0,"18,538","18,538",541710,N/A,N/A,ASRG VIBRATION ANALYSIS,,,,,,,,,
"A S R C AEROSPACE CORPORATION [GREENBELT,MARYLAND]",NNC11E478T,GRC - Glenn Research Center,CLEVELAND,OH,'16',2/1/2011,8/7/2018,", Small Disadvantaged Business, Small Business - Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Delivery Order, Cost Plus Award Fee",0,"387,030","399,408",541710,N/A,N/A,RADIOISOTOPE POWER SYSTEM PROGRAM - SYSTEMS ENGINEERING SUPPORT,,,,,,,,,
"A S R C AEROSPACE CORPORATION [GREENBELT,MARYLAND]",NNC11E494T,GRC - Glenn Research Center,CLEVELAND,OH,'16',6/2/2011,5/31/2012,", Small Disadvantaged Business, Small Business - Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Delivery Order, Cost Plus Award Fee","-3,523","46,598","50,866",541710,N/A,N/A,DESIGN OF HIGH POWER NESTED HALL-EFFECT THRUSTER,,,,,,,,,
"A S R C AEROSPACE CORPORATION [GREENBELT,MARYLAND]",NNC11E495T,GRC - Glenn Research Center,CLEVELAND,OH,'16',6/15/2011,9/12/2017,", Small Disadvantaged Business, Small Business - Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Delivery Order, Cost Plus Award Fee",0,"9,542","34,230",541710,N/A,N/A,"CAPITAL ASSET - COMPRESSED NATURAL GAS PUMPING STATION, BUILDING 145",,,,,,,,,
"A S R C AEROSPACE CORPORATION [GREENBELT,MARYLAND]",NNC11E496T,GRC - Glenn Research Center,CLEVELAND,OH,'09',6/2/2011,9/12/2017,", Small Disadvantaged Business, Small Business - Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Delivery Order, Cost Plus Award Fee",0,"14,374","24,766",541710,N/A,N/A,"CAPITAL ASSET - DESIGN FOR NEW MAKE-UP AIR UNIT FOR ROOM 101, BUILDING 109",,,,,,,,,
"A S R C AEROSPACE CORPORATION [GREENBELT,MARYLAND]",NNC11E498T,GRC - Glenn Research Center,CLEVELAND,OH,'16',6/2/2011,3/22/2019,", Small Disadvantaged Business, Small Business - Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Delivery Order, Cost Plus Award Fee",0,"6,384","10,673",541710,N/A,N/A,"CAPITAL ASSET- DESIGN FOR DEMOLITION OF SPF SEWAGE TREATMENT PLANT, PBS.",,,,,,,,,
"A S R C AEROSPACE CORPORATION [GREENBELT,MARYLAND]",NNC11E499T,GRC - Glenn Research Center,CLEVELAND,OH,'16',6/2/2011,3/21/2019,", Small Disadvantaged Business, Small Business - Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Delivery Order, Cost Plus Award Fee",0,"2,634","29,096",541710,N/A,N/A,"CAPITAL ASSET - ENGINEERING FOR NEW TRUCK LOOP AND NEW SARF ENTRANCE, GRC MAIN GATE",,,,,,,,,
"A S R C AEROSPACE CORPORATION [GREENBELT,MARYLAND]",NNC11E500T,GRC - Glenn Research Center,CLEVELAND,OH,'16',8/8/2011,5/31/2012,", Small Disadvantaged Business, Small Business - Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Delivery Order, Cost Plus Award Fee","-2,784","35,571","41,040",541710,N/A,N/A,"THIS DOCUMENT IS A GLENN ENGINEERING AND SCIENTIFIC SUPPORT - 2 (GESS-2) TASK ISSUED UNDER THE GESS-2 CONTRACT  TO ASSIST THE NASA GLENN RESEARCH CENTER (GRC) IN MEETING THE OBJECTIVES OF ENGINEERING RESEARCH AND DEVELOPMENT, AND RELATED ACTIVITIES.  THESE REQUIREMENTS GENERALLY INCLUDE TECHNICAL TASKS IN SUPPORT OF GRC S DIRECTORATES (AERONAUTICS, EXPLORATION SYSTEMS, ENGINEERING, SPACE SCIENCE, SPACE PROPULSION AND SPACE OPERATIONS, AMONG OTHERS).  TASK ORDERS WILL SPECIFY ANY ITEMS TO BE DELIVERED TO THE GOVERNMENT, THESE ITEMS MAY INCLUDE ANY OF THE FOLLOWING: TEST HARDWARE, INCLUDING SPACE FLIGHT HARDWARE TECHNICAL REPORTS, DESIGNS, DRAWINGS, SOFTWARE, AND DATA PACKAGES.",,,,,,,,,
"A S R C AEROSPACE CORPORATION [GREENBELT,MARYLAND]",NNC11E508T,GRC - Glenn Research Center,CLEVELAND,OH,'16',8/12/2011,5/31/2012,", Small Disadvantaged Business, Small Business - Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Delivery Order, Firm Fixed Price","-1,176","77,148","77,148",541710,N/A,N/A,"THIS DOCUMENT IS A GLENN ENGINEERING AND SCIENTIFIC SUPPORT - 2 (GESS-2) TASK ISSUED UNDER THE GESS-2 CONTRACT  TO ASSIST THE NASA GLENN RESEARCH CENTER (GRC) IN MEETING THE OBJECTIVES OF ENGINEERING RESEARCH AND DEVELOPMENT, AND RELATED ACTIVITIES.  THESE REQUIREMENTS GENERALLY INCLUDE TECHNICAL TASKS IN SUPPORT OF GRC S DIRECTORATES (AERONAUTICS, EXPLORATION SYSTEMS, ENGINEERING, SPACE SCIENCE, SPACE PROPULSION AND SPACE OPERATIONS, AMONG OTHERS).  TASK ORDERS WILL SPECIFY ANY ITEMS TO BE DELIVERED TO THE GOVERNMENT, THESE ITEMS MAY INCLUDE ANY OF THE FOLLOWING: TEST HARDWARE, INCLUDING SPACE FLIGHT HARDWARE TECHNICAL REPORTS, DESIGNS, DRAWINGS, SOFTWARE, AND DATA PACKAGES.",,,,,,,,,
"A S R C AEROSPACE CORPORATION [GREENBELT,MARYLAND]",NNC12E511T,GRC - Glenn Research Center,CLEVELAND,OH,'16',11/17/2011,5/31/2012,", Small Disadvantaged Business, Small Business - Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Delivery Order, Cost Plus Award Fee","-1,648","47,818","47,818",541710,N/A,N/A,SENSOR DATA QUALIFICATION AND DISCOMFORT DETECTION FOR SAA3-1196,,,,,,,,,
"A S R C AEROSPACE CORPORATION [GREENBELT,MARYLAND]",NNC12E514T,GRC - Glenn Research Center,CLEVELAND,OH,'16',11/1/2011,5/31/2012,", Small Disadvantaged Business, Small Business - Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Delivery Order, Cost Plus Award Fee","-1,300","95,844","95,844",541710,N/A,N/A,CPST SYSTEMS ENGINEERING,,,,,,,,,
"A S R C AEROSPACE CORPORATION [GREENBELT,MARYLAND]",NNC12E521T,GRC - Glenn Research Center,CLEVELAND,OH,'16',12/30/2011,8/7/2018,", Small Disadvantaged Business, Small Business - Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Delivery Order, Cost Plus Award Fee",0,"163,973","233,325",541710,N/A,N/A,ADVANCED ENERGETIC MATERIALS AND CONCEPTS DEVELOPMENT,,,,,,,,,
"A S R C AEROSPACE CORPORATION [GREENBELT,MARYLAND]",NNC12E523T,GRC - Glenn Research Center,CLEVELAND,OH,'16',2/7/2012,2/29/2012,", Small Disadvantaged Business, Small Business - Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Delivery Order, Cost Plus Award Fee","-3,905","8,512","8,512",541710,N/A,N/A,IROC APERTURE POINTING AND TRACKING,,,,,,,,,
"A S R C AEROSPACE CORPORATION [GREENBELT,MARYLAND]",NNC12E529T,GRC - Glenn Research Center,CLEVELAND,OH,'16',3/7/2012,5/31/2012,", Small Disadvantaged Business, Small Business - Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Delivery Order, Cost Plus Award Fee","-2,374","9,630","9,630",541710,N/A,N/A,AES ADVANCED EMU PLLS - THERMAL ENGINEERING SUPPORT,,,,,,,,,
"A S R C AEROSPACE CORPORATION [GREENBELT,MARYLAND]",NNC12E536T,GRC - Glenn Research Center,CLEVELAND,OH,'16',4/27/2012,5/31/2012,", Small Disadvantaged Business, Small Business - Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Delivery Order, Cost Plus Award Fee","-3,547","8,045","8,045",541710,N/A,N/A,CTS INTEGRATION AND PACKAGING,,,,,,,,,
"A S R C AEROSPACE CORPORATION [GREENBELT,MARYLAND]",NNC12E538T,GRC - Glenn Research Center,CLEVELAND,OH,'16',5/8/2012,5/31/2012,", Small Disadvantaged Business, Small Business - Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Delivery Order, Cost Plus Award Fee","-3,288","9,712","9,712",541710,N/A,N/A,REDESIGN OF THE MODEL 2601 TURBINE FOR AMES,,,,,,,,,
"A S R C AEROSPACE CORPORATION [GREENBELT,MARYLAND]",NNC12E544T,GRC - Glenn Research Center,CLEVELAND,OH,'16',5/14/2012,5/31/2012,", Small Disadvantaged Business, Small Business - Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","Delivery Order, Cost Plus Award Fee","-1,113",86,86,541710,N/A,N/A,AMPS MODULARITY STUDY - PACKAGING,,,,,,,,,
"A T AND T CORPORATION (4710) [VIENNA,VIRGINIA]",NNA11AB62D,ARC - Ames Research Center,,VA,'11',5/6/2011,7/23/2014,Other Than Small Business - [No Vendor Indicators Found],"Delivery Order, Firm Fixed Price",0,"299,827","299,827",517110,N/A,N/A,FRAME RELAY SERVICES (FRS),,,,,,,,,
"A TEX TECHNICAL SERVICES [HURST,TEXAS]",NNG12LN55P,GSFC - Goddard Space Flight Center,Greenbelt,MD,'05',7/18/2012,7/17/2013,", Small Business ONLY - For Profit Organization, Sole Proprietorship","Purchase Order, Firm Fixed Price",0,"10,000","10,000",811219,N/A,N/A,"IGF::OT::IGF OTHER FUNCTIONS.  TECHNICAL SUPPORT FOR M1500 DICING SAW SUPPORT.  THE VENDOR SHALL TRAVEL TO GSFC TO PERFORM REPAIRS AND SERVICES. THE VENDOR SHALL REPAIR ALL PROBLEMS TO THE MICRO-AUTOMATION DICING SAW AND WILL NEED TO PASS GSFC SPECIFICATIONS. A REPORT SHALL BE PROVIDED TO GSFC OF ALL REPAIRS AND ADJUSTMENTS.  THE VENDOR SHALL PERFORM SEMI-ANNUAL PREVENTIVE MAINTENANCE. THE VENDOR SHALL PROVIDE PHONE SUPPORT FOR TROUBLESHOOTING PROBLEMS, AND ON-SITE SERVICE WITHIN 48 HOURS WHEN THE PROBLEM CANNOT BE SOLVED OVER THE PHONE.",,,,,,,,,
"A TEX TECHNICAL SERVICES [ARLINGTON,TEXAS]",NNG13LG24P,GSFC - Goddard Space Flight Center,Greenbelt,MD,'05',8/12/2013,8/12/2014,", Small Business ONLY - For Profit Organization, Sole Proprietorship","Purchase Order, Firm Fixed Price","10,000","10,000","10,000",811219,N/A,N/A,IGF::OT::IGF  FUNDS FOR TECHNICAL SUPPORT FOR M1500 DICING SAW.,,,,,,,,,
"A-A BLUEPRINT CO., INC. [AKRON,OHIO]",NNC12VD24P,GRC - Glenn Research Center,Akron,OH,'17',5/31/2012,5/31/2013,", Woman Owned Small Business, Small Business - For Profit Organization, Subchapter S Corporation, Women Owned","Purchase Order, Firm Fixed Price",0,"19,401","19,401",811212,N/A,N/A,MAINTENANCE SERVICE CONTRACTS FOR EQUIPMENT IN B21/ROOM140,,,,,,,,,
"A-A BLUEPRINT CO., INC. [AKRON,OHIO]",NNC13VE89P,GRC - Glenn Research Center,AKRON,OH,'13',5/30/2013,6/1/2014,", Woman Owned Small Business, Small Business - For Profit Organization, Subchapter S Corporation, Women Owned","Purchase Order, Firm Fixed Price","19,401","19,400","19,400",811212,N/A,N/A,"IGF::OT::IGF:PREVENTATIVE MAINTENANCE AGREEMENT FOR APERTURE CARD SCANNER IN BUILDING 21, ROOM 140.",,,,,,,,,
"A-P-T RESEARCH, INC. [HUNTSVILLE,ALABAMA]",NNK12OE12C,KSC - Kennedy Space Flight Center,ORLANDO,FL,'08',8/17/2012,4/30/2018,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Small Business, Very Small Business","Definitive Contract, Cost Plus Award Fee","12,172,793","49,190,575","54,162,229",541330,N/A,N/A,IGF::OT::IGF OTHER FUNCTIONS. SAFETY AND MISSION ASSURANCE SUPPORT SERVICES II,,,,,,,,,
"A-P-T RESEARCH, INC. [HUNTSVILLE,ALABAMA]",NNX13TF59P,NSSC - NASA Shared Services Center,Orlando,FL,'08',9/17/2013,10/25/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","20,500","20,500","20,500",541330,N/A,N/A,IGF::OT::IGF INTERNAL TRAINING PURCHASES COURSE TITLE:  SYSTEM SAFETY TRAINING,,,,,,,,,
"A-TECH CORPORATION [ALBUQUERQUE,NEW MEXICO]",NNG13CR52C,GSFC - Goddard Space Flight Center,,NM,'01',9/25/2013,11/24/2014,", Small Disadvantaged Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Hispanic American Owned Business, Minority Owned","Definitive Contract, Firm Fixed Price","1,946,686","1,937,144","1,937,144",334510,N/A,N/A,"AN INERTIALLY STABLE PLATFORM HAS BEEN DEVELOPED TO PROVIDE STABILIZED POINTING OF A SPACE-QUALIFIED OPTICAL SYSTEM.  THIS EFFORT IS FOR THE CONTRACTOR TO MANUFACTURE, TEST AND DELIVER THESE ASSEMBLIES.  THE UNITS SHALL BE BUILT FOR THE LASER COMMUNICATION RELAY DEMONSTRATION (LCRD) PROJECT, ACCORDING TO DRAWINGS PROVIDED BY THE NASA GODDARD SPACE FLIGHT CENTER (GSFC).",,,,,,,,,
"A-TECH CORPORATION [ALBUQUERQUE,NEW MEXICO]",NNX13CC50P,NSSC - NASA Shared Services Center,Albuquerque,NM,'01',5/22/2013,11/23/2013,", Small Disadvantaged Business, Small Business Innovative Research, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Hispanic American Owned Business, Minority Owned","Purchase Order, Firm Fixed Price","124,999","124,999","124,999",541712,NNX13SBIRPHASEI,N/A,"IGF::OT::IGF  NASA HAS A CRITICAL NEED FOR IMPROVED BI-DIRECTIONAL DATA TRANSMISSION RATES FROM A VARIETY OF SPACECRAFT TO EARTH. NASA ESTIMATES THAT THE CURRENT MARS TO EARTH TRANSFER RATE OF 6 MBPS MIGHT BE INCREASED TO 600MBPS USING A LASER COMM (LC) SYSTEM. BECAUSE THE LC BEAM IS LESS THAN 10 MICRORADIANS WIDE AND THE EARTH AT APOGEE IS 32 MICRORADIANS WIDE, AS SEEN FROM MARS, LC BEAM JITTER CAUSED BY SPACECRAFT BASE MOTION MUST BE REDUCED TO SUB-MICRORADIAN LEVELS TO ENABLE BEACONLESS OPTICAL BEAM POINTING. TO MEET THE NEED, NASA IS SEEKING INNOVATIVE COMPACT, LIGHTWEIGHT, SPACE-QUALIFIABLE VIBRATION ISOLATION PLATFORMS FOR PAYLOADS MASSING BETWEEN 3 AND 50 KG THAT REQUIRE LESS THAN 15 W OF POWER AND MASS LESS THAN 3 KG THAT WILL ATTENUATE AN INTEGRATED ANGULAR DISTURBANCE OF 150 UR TO LESS THAN 0.5 MICRORADIANS (1-SIGMA), FROM<0.1 HZ TO #tilde#500 HZ. ATA HAS A LONG TRACK RECORD OF PRODUCING STABILIZED PLATFORMS TO HOST SMALL OPTICAL PAYLOADS. BUILDING ON A PREVIOUS NASA SBIR, ATA NOW PRODUCES THE STABLE PLATFORM USED IN NASA\'S LLST AND LCRD PROGRAMS. ATA WILL CREATE A COMPACT, LIGHTWEIGHT ISOLATION PLATFORM (CLIP) THAT COULD HOST THE LC COLLIMATOR TELESCOPE AND PROVIDE A STABILIZED PLATFORM TO PREVENT THE 150-MICRORADIAN SPACECRAFT DISTURBANCE ENVIRONMENT FROM REACHING THE LC TERMINAL. ADVANCES IN THE SUSPENSION FLEXURE, THE PLATFORM STRUCTURE, AND ACTUATORS WILL BE REQUIRED TO MEET THE SIZE, WEIGHT AND POWER REQUIREMENTS. ONE CHALLENGING REQUIREMENT IS THAT AN ANGULAR-MOTION SENSOR IS REQUIRED FOR THE CONTROL SYSTEM. GYROS EXIST THAT CAN MEASURE ADEQUATELY BUT THEY ARE TOO HEAVY, TOO LARGE, AND USE TOO MUCH POWER. ATA WILL DEVELOP A SMALL, LIGHTWEIGHT, NANORADIAN-CLASS ANGULAR NOISE CAPACITIVE ANGULAR POSITION SENSOR (CAPS). THE SENSOR WILL HAVE LOW POWER AND HIGH RELIABILITY, WHICH ATA WILL DEMONSTRATE BY PRODUCING TRL 4 PROTOTYPES IN PHASE I. ATA WILL DEVELOP THE CLIP, A 0.5 MICRORADIAN RESIDUAL MOTION STABLE PLATFORM, IN PHASE II FOR PROGRAMS LIKE IROC.",,,,,,,,,
"A-THRU-Z INC. [BETHESDA,MARYLAND]",GSFC0200207DNAS502095,GSFC - Goddard Space Flight Center,,VA,'NA',7/15/2002,6/30/2007,", Small Disadvantaged Business, Small Business - Minority Owned, Sub Continent Asian American Owned Business","Definitive Contract, Firm Fixed Price",0,"501,183","3,000,000",541310,N/A,N/A,,,,,,,,,,
"A. A. A. FENCE COMPANY, INC. [SANTA CLARA,CALIFORNIA]",NNA13AA67Z,ARC - Ames Research Center,[N/A for IDVs],,'NA',1/1/2013,[None Indicated],", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Blanket Purchase Agreement (BPA), Firm Fixed Price",0,0,0,238990,NNA13JAC-BPA-4200443820,"Rhonda LaBron, 650-604-4685, Rhonda.F.LaBron@nasa.gov","IGF::OT::IGF GENERAL MAINTENANCE, ALL OTHER SPECIALTY TRADE",,,,,,,,,
"A. DAIGGER AND COMPANY, INCORPORATED [VERNON HILLS,ILLINOIS]",NNC12VI94P,GRC - Glenn Research Center,Vernon Hills,IL,'10',9/18/2012,10/31/2012,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price",0,"13,246","13,246",423490,N/A,N/A,VACUUM PUMP,,,,,,,,,
"A. M. CASTLE & CO. [OAK BROOK,ILLINOIS]",NNM13AA04P,MSFC - Marshall Space Flight Center,Oak Brook,IL,'13',10/25/2012,11/23/2012,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","26,575","26,575","26,575",423510,N/A,N/A,THE PURPOSE OF THIS PURCHASE ORDER IS FOR METAL SHEETS.,,,,,,,,,
"A. T. PARKER, INC. [NORTH HOLLYWOOD,CALIFORNIA]",NNL13AF32P,LaRC - Langley Research Center,North Hollywood,CA,'29',8/26/2013,10/4/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","13,794","13,794","13,794",334515,N/A,N/A,ELECTROMAGNETIC COMPATIBILITY TEST EQUIPMENT,,,,,,,,,
"A. WEST ENTERPRISE, LLC [ALBANY,GEORGIA]",NNK13CA60C,KSC - Kennedy Space Flight Center,,FL,'08',9/25/2013,4/30/2016,", Small Disadvantaged Business, Woman Owned Small Business, Economically Disadvantaged Women Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, Economically Disadvantaged Women Owned Small Business, For Profit Organization, Self Certified Small Disadvantaged Business, Women Owned, Women Owned Small Business","Definitive Contract, Firm Fixed Price","5,667,123","6,409,760","6,409,760",237130,NNK13483899R,"Randall Gumke, 321-867-3322, randall.a.gumke@nasa.gov","IGF::OT::IGF  REVITALIZE MEDIUM VOLTAGE ELECTRICAL DISTRIBUTION SYSTEMS, INDUSTRIAL AND PAYLOAD PROCESSING AREAS",,,,,,,,,
"A.C.C. SYSTEMS, INC. [BOHEMIA,NEW YORK]",NNJ13HB14P,JSC - Johnson Space Flight Center,,NY,'02',3/15/2013,6/5/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","12,480","12,480","12,480",335999,N/A,N/A,LASER BARCODE SCAN ENGINE,,,,,,,,,
"A.G. DAVIS GAGE & ENGINEERING CO. [STERLING HEIGHTS,MICHIGAN]",NNL12AA38C,LaRC - Langley Research Center,,MI,'10',8/31/2012,6/7/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Definitive Contract, Firm Fixed Price","3,650","192,065","192,065",334519,N/A,N/A,TWO AXIS ROTARY INDEX SYSTEM,,,,,,,,,
"A2 RESEARCH, JV [HUNTSVILLE,ALABAMA]",NNS10AA47C,SSC - Stennis Space Center,STENNIS SPACE CENTER,MS,'04',3/29/2010,4/30/2015,", Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - For Profit Organization, Partnership Or Limited Liability Partnership, SBA Certified 8A Joint Venture, Self Certified Small Disadvantaged Business, Women Owned","Definitive Contract, Firm Fixed Price","5,303,635","25,306,011","26,207,591",541380,NNS09ZDA006R,N/A,LABORATORY SERVICE.,,,,,,,,,
