Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work,,,,
"ACUITY EDGE, INC. [DURHAM,NORTH CAROLINA]",80MSFC20F0169,MSFC - Marshall Space Flight Center,BROADWAY,NC,'06',6/25/2020,9/25/2020,"SBA Certified HUBZone, Small Disadvantaged Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, SBA Certified HUBZone, Self Certified Small Disadvantaged Business, Subchapter S Corporation","Delivery Order, Firm Fixed Price","64,945","64,945","64,945",541990,N/A,N/A,REVIEW TECHNOLOGY OPPORTUNITY SHEETS (TOPS) TO RATE LICENSING POTENTIAL AND AID PATENT-MAINTENANCE DECISIONS,,,,
"AD ASTRA ROCKET COMPANY [WEBSTER,TEXAS]",NNH15CN86C,HQ - Headquarters Acquisition Division,WEBSTER,TX,'22',8/7/2015,12/31/2020,", Small Disadvantaged Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Hispanic American Owned Business, Minority Owned, Self Certified Small Disadvantaged Business","Definitive Contract, Firm Fixed Price",0,"9,060,564","9,060,564",541712,NNH15ZCQ001K,N/A,"IGF::OT::IGF NASA BROAD AGENCY ANNOUNCEMENT AWARD NNH15ZCQ001K.  THE OBJECTIVES OF THIS WORK ARE TO DEMONSTRATE AND MEASURE KEY TECHNICAL FUNCTIONS AND PARAMETERS RELEVANT TO NASA.  AD ASTRAS WELL DEMONSTRATED EXPERIMENTAL AND ENGINEERING DEVELOPMENT PRACTICES WILL BE FOLLOWED THROUGHOUT THE PROJECT.  AD ASTRA WILL DEMONSTRATE THE FOLLOWING POWER.   AD ASTRA WILL PERFORM OPERATIONAL THERMAL STEADY STATE TESTS IN A DESIGN THAT IS EFFICIENT AND EXTENSIBLE TO CONTINUOUS OPERATIONS PER THRUSTER.  TRL 5 PPUS.   AD ASTRA WILL USE EXISTING TRL5 RADIO FREQUENCY GENERATORS (RF PPUS) THAT WERE DEVELOPED AND BUILT BY NAUTEL LTD AND PROVEN IN VX 200 TESTING.  THESE PPUS ARE RATED FOR STEADY STATE OPERATION, HAVE ALREADY DEMONSTRATED A COMBINED EFFICIENCY PERCENTAGE AND A SPECIFIC MASS. LIFETIME.   AD ASTRA WILL CARRY OUT 100 HOURS CONTINUOUS LIFETIME TESTING FOR THE FULL 100 HOURS AT FULL THERMAL STEADY STATE.  AD ASTRA WILL PERFORM EROSION MEASUREMENTS AT THE END OF THE TEST WITH A PRECISION GOAL SUFFICIENT TO EXTRAPOLATE OPERATIONAL (THRUSTING) LIFETIME TO A NUMBER OF HOURS.  PERFORMANCE.   AD ASTRA WILL MEASURE ROCKET PERFORMANCE USING VX 200 PEER REVIEWED PUBLISHED TECHNIQUES IN EACH PHASE OF THE PROJECT.  PERFORMANCE MEASUREMENTS MADE DURING LONG DURATION STEADY STATE OPERATIONS DRIVE COST.  EXCLUDING THE LABORATORY SUPERCONDUCTING MAGNET COOLING POWER, AD ASTRA WILL VERIFY A SYSTEM EFFICIENCY GOAL OF GREATER THAN 60 PERCENT, INCLUDING THE RF PPUS, AT A SPECIFIC IMPULSE OF INTEREST USING ARGON PROPELLANT.  AD ASTRA WILL ALSO CARRY OUT VARIABLE SPECIFIC IMPULSE TESTING WITHIN A RANGE.  THESE TESTS WILL ALLOW TRL 6 DESIGNS THAT WILL ACHIEVE TOTAL SYSTEM EFFICIENCY GREATER THAN 60 PERCENT IN THE SPECIFIC IMPULSE RANGE OF 2000 S TO 5000 S USING HIGH TEMPERATURE SUPERCONDUCTORS WITH ARGON AND KRYPTON PROPELLANTS.",,,,
"ADA TECHNOLOGIES, INC. [LITTLETON,COLORADO]",80NSSC19C0311,NSSC - NASA Shared Services Center,LITTLETON,CO,'01',8/1/2019,2/18/2020,", Veteran Owned Small Business, Small Disadvantaged Business, Small Business Innovative Research, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Self Certified Small Disadvantaged Business, Subchapter S Corporation, Veteran Owned","Definitive Contract, Firm Fixed Price",0,"124,993","124,993",541715,N/A,N/A,"HIGH ENERGY DENSITY, LONG CYCLE LIFE LI-S BATTERIES FOR SPACE APPLICATIONS",,,,
"ADA TECHNOLOGIES, INC. [LITTLETON,COLORADO]",80NSSC20C0192,NSSC - NASA Shared Services Center,LITTLETON,CO,'01',8/26/2020,8/25/2022,", Veteran Owned Small Business, Small Disadvantaged Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Self Certified Small Disadvantaged Business, Subchapter S Corporation, Veteran Owned","Definitive Contract, Firm Fixed Price","746,930","746,930","746,930",541715,N/A,N/A,"HIGH ENERGY DENSITY, LONG CYCLE LIFE LI-S BATTERIES FOR SPACE APPLICATIONS",,,,
"ADANTA, INC. [NAPA,CALIFORNIA]",80GSFC19C0045,GSFC - Goddard Space Flight Center,GREENBELT,MD,'05',7/29/2019,7/31/2021,", Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Economically Disadvantaged Women Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, Economically Disadvantaged Women Owned Small Business, For Profit Organization, SBA Certified 8A Program Participant, Self Certified Small Disadvantaged Business, Small Business, Women Owned, Women Owned Small Business","Definitive Contract, Firm Fixed Price","544,904","741,976","1,194,256",541690,N/A,N/A,"COMPREHENSIVE OCCUPATIONAL SAFETY PROGRM SERVICES FOR GSFC;  GREENBELT, MD.  RELATED SERVICES SHALL BE PROVIDED FOR GISS, NEW YORK, NY; IV&V FACILITY, FAIRMONT, WV; AND WHITE SANDS COMPLEX, NEW YORK.",,,,
"ADAS, LLC [BOISE,IDAHO]",80LARC19P0019,LaRC - Langley Research Center,BOISE,ID,'02',9/23/2019,3/16/2020,", Small Business ONLY - For Profit Organization, Manufacturer Of Goods, Partnership Or Limited Liability Partnership","Purchase Order, Firm Fixed Price",0,"260,493","260,493",337127,80LARCFYQ708260,N/A,ELECTROSTATIC DISCHARGE BENCHES FOR MEASUREMENT SYSTEMS LABORATORY,,,,
"ADCOLE MARYLAND AEROSPACE, LLC. [MARLBOROUGH,MASSACHUSETTS]",80GSFC19P0022,GSFC - Goddard Space Flight Center,MARLBOROUGH,MA,'03',5/20/2019,8/20/2020,", Small Business ONLY - For Profit Organization","Purchase Order, Firm Fixed Price","-47,300","262,700","262,700",334511,80GSFC19Q0001,N/A,"PLANKTON, AEROSOL, CLOUD, OCEAN ECOSYSTEM (PACE) COARSE SUN SENSORS (CSS)",,,,
"ADCOLE SPACE, LLC [MARLBOROUGH,MASSACHUSETTS]",80GSFC20C0112,GSFC - Goddard Space Flight Center,MARLBOROUGH,MA,'03',7/31/2020,11/30/2021,Other Than Small Business - For Profit Organization,"Definitive Contract, Firm Fixed Price","697,000","697,000","697,000",336419,80GSFC20R0035,N/A,ROMAN SPACE TELESCOPE COARSE SUN SENSORS,,,,
"ADDITIVE MANUFACTURING & ENGINEERING, INC. [HUNTSVILLE,ALABAMA]",80MSFC19P0032,MSFC - Marshall Space Flight Center,HUNTSVILLE,AL,'05',4/17/2019,4/17/2020,", Small Disadvantaged Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Self Certified Small Disadvantaged Business","Purchase Order, Firm Fixed Price",0,"348,445","348,445",332117,80MSFC19Q0005,N/A,PURCHASE ORDER FOR ADDITIVE MANUFACTURING OF LARGE PLATFORM GRCOP-42 CHAMBERS,,,,
"ADDITIVE MANUFACTURING & ENGINEERING, INC. [HUNTSVILLE,ALABAMA]",80NSSC19P1828,NSSC - NASA Shared Services Center,HUNTSVILLE,AL,'05',8/15/2019,11/12/2019,", Small Disadvantaged Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Self Certified Small Disadvantaged Business","Purchase Order, Firm Fixed Price",0,"27,515","27,515",332117,80NSSC19Q1016,N/A,TASK #007-1 60 TENSILE AND 50 FATIGUE SPECIMENS (SPENT POWDER) - TASK #007-2 60 TENSILE AND 50 FATIGUE SPECIMENS (NEW POWDER),,,,
"ADDITIVE MANUFACTURING & ENGINEERING, INC. [HUNTSVILLE,ALABAMA]",80NSSC20P0269,NSSC - NASA Shared Services Center,HUNTSVILLE,AL,'05',12/4/2019,1/17/2020,", Small Disadvantaged Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Self Certified Small Disadvantaged Business","Purchase Order, Firm Fixed Price","69,582","69,582","69,582",332999,80NSSC20Q0134,N/A,"OT TO BUILD, POST PROCESS, AND SHIP THE GRCOP LLAMA CHAMBERS",,,,
"ADDITIVE MANUFACTURING & ENGINEERING, INC. [HUNTSVILLE,ALABAMA]",80NSSC20P0527,NSSC - NASA Shared Services Center,HUNTSVILLE,AL,'05',1/28/2020,3/2/2020,", Small Disadvantaged Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Self Certified Small Disadvantaged Business","Purchase Order, Firm Fixed Price","48,683","48,683","48,683",332999,80NSSC20Q0265,N/A,CHAMBER LINER,,,,
"ADDITIVE MANUFACTURING INNOVATIONS LLC [POTSDAM,NEW YORK]",80NSSC19C0409,NSSC - NASA Shared Services Center,POTSDAM,NY,'21',8/2/2019,2/18/2020,", Small Disadvantaged Business, Small Business Innovative Research, Small Business - For Profit Organization, Limited Liability Corporation, Self Certified Small Disadvantaged Business, Sole Proprietorship","Definitive Contract, Firm Fixed Price",0,"124,823","124,823",541715,N/A,N/A,A MULTISCALE MODEL FOR MATERIAL SYSTEMS WITH HIERARCHICAL MICROSTRUCTURE USING GENERALIZED METHOD OF CELLS (GMC),,,,
"ADDITIVE MANUFACTURING INNOVATIONS LLC [POTSDAM,NEW YORK]",80NSSC20C0098,NSSC - NASA Shared Services Center,POTSDAM,NY,'21',6/15/2020,6/30/2022,", Small Disadvantaged Business, Woman Owned Small Business, Small Business Innovative Research, Small Business - For Profit Organization, Limited Liability Corporation, Self Certified Small Disadvantaged Business, Small Business, Sole Proprietorship, Women Owned, Women Owned Small Business","Definitive Contract, Firm Fixed Price","749,974","749,974","749,974",541715,N/A,N/A,A MICROSTRUCTURE-INFORMED MULTISCALE STRUCTURAL ANALYSIS AND DESIGN FRAMEWORK FOR NEXT GENERATION HIGH PERFORMANCE MATERIAL SYSTEMS AND STRUCTURAL COMPONENTS,,,,
"ADELPHI TECHNOLOGY, LLC [BOWLING GREEN,KENTUCKY]",80NSSC20C0323,NSSC - NASA Shared Services Center,BOWLING GREEN,KY,'02',8/18/2020,9/30/2021,", Small Business Innovative Research, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Limited Liability Corporation","Definitive Contract, Firm Fixed Price","122,786","122,786","122,786",541715,N/A,N/A,COMPACT ETHYLENE MONITOR FOR NASA SPACE MISSIONS,,,,
"ADLER PLANETARIUM, THE [CHICAGO,ILLINOIS]",80NSSC20M0057,NSSC - NASA Shared Services Center,CHICAGO,IL,'07',2/12/2020,3/31/2022,"Non-Profit Institutions - Corporate Entity Tax Exempt, Other Not For Profit Organization",Cooperative Agreement,"1,036,500","1,036,500","1,036,500",[None Indicated],N/A,N/A,BUILDING THE NASA CITIZEN SCIENCE COMMUNITY WITH THE ZOONIVERSE,,,,
"ADMET, INC. [NORWOOD,MASSACHUSETTS]",80NSSC20P1736,NSSC - NASA Shared Services Center,NORWOOD,MA,'08',8/25/2020,12/15/2020,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","52,929","52,929","52,929",334516,80NSSC20736124Q,N/A,"ADMET CUSTOM EXPERT 4200 MICROTEST SYSTEM FOR USE WITH SEM SYSTEM (VACUUM CHAMBER) AND EBSD ANALYSIS, COMPRESSION PLATENS, BEND FIXTURE ASSEMBLY, AND ON-SITE INSTALLATION, FACTORY CALIBRATION, AND TRAINING. QUOTE HDQQ17109-01. 14 - 16 WEEKS ARO.",,,,
"ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND, THE [NEW ORLEANS,LOUISIANA]",80NSSC19K0826,NSSC - NASA Shared Services Center,NEW ORLEANS,LA,'01',8/8/2019,8/7/2021,"Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",Grant,0,"122,049","122,049",[None Indicated],N/A,N/A,"THERE ARE TWO PRIMARY OBJECTIVES FOR THIS PROPOSED RESEARCH: 1. ASSESS THE RELATIVE INFLUENCE OF VOLCANISM AND IMPACT PROCESSES AS RESURFACING MECHANISMS ON MERCURY. MERCURY IS HEAVILY MODIFIED BY VOLCANIC PROCESSES, AND OUR UNDERSTANDING OF ITS",,,,
"ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND, THE [NEW ORLEANS,LOUISIANA]",80NSSC19K1231,NSSC - NASA Shared Services Center,NEW ORLEANS,LA,'01',8/21/2019,7/31/2022,"Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",Grant,"91,726","197,178","275,642",[None Indicated],N/A,N/A,"THE NORTH AND SOUTH POLAR LAYERED DEPOSITS (PLD) ON MARS HAVE DRASTICALLY DIFFERENT RADAR PROPERTIES. SIGNALS FROM THE MARS RECONNAISSANCE ORBITER (MRO) SHALLOW RADAR (SHARAD) PROPAGATE ENTIRELY THROUGH THE NPLD, DETECTING A BASAL REFLECTOR THROUGH A #tilde#2 KM THICK WATER-ICE-RICH DEPOSIT. CONVERSELY, SHARAD SIGNALS ARE UNABLE TO TRAVERSE THE #tilde#1 3.5 KM THICK SPLD, EVEN THOUGH IT IS ALSO COMPOSED PREDOMINANTLY OF WATER ICE. SOMETHING IS SCATTERING THE SHARAD ECHO, CREATING A FOG-LIKE APPEARANCE SUBSEQUENT TO THE SPLD SURFACE RETURN. TYPICALLY, SHARAD IMAGES 1.1 1.5 KM INTO THE SPLD, THOUGH EVEN IN THIN REGIONS OF THE SPLD (<1.5 KM THICK), THE SHARAD SIGNAL DOES NOT ALWAYS DETECT A BASAL REFLECTOR. ONE TYPE OF SPLD UNIT, LOW REFLECTIVITY ZONES (LRZ, FORMERLY REFLECTION-FREE ZONES), EXPERIENCES SOME OF THE GREATEST RADAR SIGNAL ATTENUATION, AND SOME LRZ ARE IN SOME OF THE THINNEST SPLD REGIONS. AT LOWER FREQUENCIES, SIGNALS FROM THE MARS ADVANCED RADAR FOR SUBSURFACE AND IONOSPHERE SOUNDING (MARSIS) ARE ABLE TO DETECT THE BASAL INTERFACE IN MOST REGIONS OF THE SPLD. THUS, THE FACTORS CONTROLLING THE PROPAGATION OF RADIO WAVES THROUGH THE SPLD ARE FREQUENCY DEPENDENT. WE PROPOSE A DETAILED ANALYSIS OF THE OBSERVED SCATTERING OF THE SHARAD ECHO IN THE SPLD THAT WILL ENABLE AN ASSESSMENT OF THE PROCESSES RESPONSIBLE (E.G., SURFACE ROUGHNESS, MATERIAL COMPOSITION) FOR THE RADAR SIGNAL ATTENUATION. WE WILL INVESTIGATE THE OBSERVED SCATTERING OF THE SHARAD ECHOES THROUGH FOUR TASKS: 1. MAPPING THE SPLD BASAL REFLECTORS USING THE SHARAD AND MARSIS RADAR SOUNDING DATASETS TO ASSESS HOW MUCH OF THE SPLD IS NOT MEASURED BY SHARAD. 2. CALCULATING THE THICKNESS OF LRZ DEPOSITS ACROSS THE SPLD TO DETERMINE THEIR TOTAL VOLUME AND THEIR EFFECT ON THE SCATTERING OF THE SHARAD SIGNAL. 3. LOCATE AND CHARACTERIZE THE DEEPEST SIGNAL PENETRATION IN THE SPLD THROUGH MAPPING THE POWER OF BOTH COHERENT REFLECTORS AND THE SHAPE OF THE FOG SIGNAL WITH DEPTH. 4. MEASURING THE SPLD SURFACE ROUGHNESS USING CTX IMAGE AND CTX DEM DATA. THIS WORK WILL ENHANCE THE SCIENTIFIC RETURN OF THE SHARAD, MARSIS, AND CTX DATASETS; FEW SUCH STUDIES HAVE BEEN LED BY TEAM MEMBERS WHO ARE NOT MISSION CO-IS. RESULTS FROM THE PROPOSED ANALYSES, SUCH AS THE CHARACTERIZATION OF THE SHARAD SIGNAL ATTENUATION, WILL QUANTIFY DIFFERENCES BETWEEN THE NPLD AND THE SPLD AND LEAD TO A BETTER UNDERSTANDING OF HOW THE COMPOSITION AND STRUCTURE OF THE PLD CONTROL THEIR EVOLUTION. THESE RESULTS WILL HAVE IMPORTANT IMPLICATIONS FOR THE EXPECTED BEHAVIOR OF RADAR SOUNDERS ON THE NASA EUROPA CLIPPER AND ESA JUICE MISSIONS TO ICY MOONS.",,,,
"ADMINISTRATORS OF THE TULANE EDUCATIONAL FUND, THE [NEW ORLEANS,LOUISIANA]",80NSSC20K0859,NSSC - NASA Shared Services Center,NEW ORLEANS,LA,'01',4/21/2020,4/5/2023,"Educational - Corporate Entity Tax Exempt, Educational Institution, Nonprofit Organization, Private University Or College",Grant,"66,319","66,319","220,513",[None Indicated],N/A,N/A,"THE OBJECTIVE OF THIS PROPOSAL IS TO ASSESS THE EXTENT OF RADAR BRIGHTNESS VARIATIONS WITHIN TESSERA ACROSS THE SURFACE OF VENUS, SEARCHING FOR CORRELATIONS WITH OTHER LANDFORMS, SUCH AS IMPACT CRATERS AND VOLCANIC FEATURES.",,,,
"ADMIRAL VALVE, LLC [KENNETT SQUARE,PENNSYLVANIA]",80NSSC20P1542,NSSC - NASA Shared Services Center,KENNETT SQUARE,PA,'06',7/13/2020,8/10/2020,", Small Business ONLY - For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,0,0,332911,N/A,N/A,REPLACEMENT VALVES FOR 8FT HIGH TEMPERATURE TUNNEL,,,,
"ADNET SYSTEMS, INC. [BETHESDA,MARYLAND]",80GSFC17C0003,GSFC - Goddard Space Flight Center,GREENBELT,MD,'05',8/9/2017,9/30/2021,", Small Disadvantaged Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Subchapter S Corporation, Sub Continent Asian American Owned Business","Definitive Contract, Cost Plus Fixed Fee","42,778,573","156,685,104","191,614,873",541712,NNG16575844R,N/A,"IGF::OT::IGFSPACE AND EARTH SCIENCES DATA ANALYSIS (SESDA) THE PURPOSE OF THIS CONTRACT IS TO PROVIDE A BROAD RANGE OF SERVICES TO SUPPORT PRIMARILY SCIENCES AND EXPLORATION DIRECTORATE (SED, CODE 600) EARTH AND SPACE SCIENCE RESEARCH AND DEVELOPMENT, DATA OPERATIONS, AS WELL AS ACTIVITIES IN INFORMATION SYSTEM TECHNOLOGIES, ENGINEERING, AND SCIENCE COMMUNICATION, EDUCATION AND PUBLIC OUTREACH, THAT ENABLE CODE 600 TO SUCCESSFULLY CARRY OUT ITS SCIENCE MISSIONS AT THE GODDARD SPACE FLIGHT CENTER (GSFC).SED SCIENCE RESEARCH AND DEVELOPMENT ACTIVITIES AND FUNDING ARE CLOSELY ALIGNED TO NASA''S SCIENCE PROJECTS AND PROGRAMS. SCIENCE DATA SYSTEMS IN THE SED EXIST TO ENABLE THE PRODUCTION OF SCIENCE RESULTS. SED SCIENCE DATA OPERATIONS ARE DRIVEN PRIMARILY BY SCIENCE DISCIPLINE-SPECIFIC NEEDS AND DISCIPLINE-SPECIFIC APPROACHES TO HOW DATA ARE MOST EFFECTIVELY AND EFFICIENTLY MADE AVAILABLE AND USEFUL TO DISCIPLINE RESEARCH COMMUNITIES.THE SERVICES REQUIRED UNDER THIS CONTRACT SUPPORT ALL THE SCIENCE DISCIPLINES WITHIN CODE 600, INCLUDING, BUT NOT LIMITED TO, THE STUDY OF THE EARTH, THE SUN, OUR SOLAR SYSTEM AND THE UNIVERSE. RESEARCH AND INFORMATION TECHNOLOGY SUPPORT SERVICES INCLUDES SCIENTIFIC DATA ANALYSIS AND VISUALIZATION, MODELING AND SIMULATION OF PHYSICAL PROCESSES, DEVELOPMENT AND TESTING OF FLIGHT PROJECT INSTRUMENT AND DATA SYSTEMS, FIELD EXPERIMENTS, DEVELOPMENT AND OPERATIONS OF LARGE-SCALE DATA MANAGEMENT, ARCHIVAL AND DELIVERY SYSTEMS, SYSTEMS ANALYSIS, AND PROGRAMMING; AND INCLUDES ENGINEERING, TECHNOLOGY, RESEARCH AND DEVELOPMENT, NETWORK ENGINEERING, AND EDUCATION AND PUBLIC OUTREACH.  THE CONTRACTOR SHALL SUPPORT BOTH ONGOING AND NEW PROJECTS AS REQUIRED IN ALL THESE AREAS.WORK DEFINED UNDER THIS CONTRACT IS PRIMARILY FUNDED BY THE SED (CODE 600) ALTHOUGH OTHER DIRECTORATES SUCH AS THE FLIGHT PROJECTS DIRECTORATE (CODE 400), THE APPLIED ENGINEERING AND TECHNOLOGY DIRECTORATE (CODE 500), AND THE INFORMATION TECHNOLOGY AND COMMUNICATIONS DIRECTORATE (CODE 700) CAN UTILIZE THIS CONTRACT WHEN APPROPRIATE. THESE DIRECTORATES HAVE PIVOTAL ROLES IN NASA''S MISSION TO PIONEER THE FUTURE IN SPACE EXPLORATION, SCIENTIFIC DISCOVERY, AND AERONAUTICS RESEARCH. GSFC ALSO HAS OTHER AREAS OF STRATEGIC RESPONSIBILITY THAT SUPPORT NASAS PROGRAMS AND NEW FOCUS AREAS ARE OCCASIONALLY DEFINED BY NASA HEADQUARTERS. MOST OF THE SERVICES PROVIDED WILL BE IN DIRECT SUPPORT TO THE SCIENCE, FLIGHT PROGRAMS, INFORMATION TECHNOLOGY AND ENGINEERING ORGANIZATIONAL ENTITIES AT GSFC.  THE TECHNICAL PERFORMANCE REQUIREMENTS FOR THIS CONTRACT ARE DEFINED BELOW BY CATEGORY WITH EXPANDED DEFINITIONS.",,,,
"ADNET SYSTEMS, INC. [BETHESDA,MARYLAND]",80NSSC18K0061,NSSC - NASA Shared Services Center,BETHESDA,MD,'08',10/13/2017,10/18/2018,", Small Disadvantaged Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Subchapter S Corporation, Sub Continent Asian American Owned Business",Grant,0,"19,763","19,763",[None Indicated],N/A,N/A,"THE MAIN GOALS OF OUR STUDY ARE (A) TO OBTAIN IMPROVED AND SELF-CONSISTENT ESTIMATES OF COMPLIANCES THAT DESCRIBE THE RESPONSE OF THE NON-RIGID EARTH TO EXTERNAL TORQUES AND GEOPHYSICAL EXCITATIONS, ALONG WITH REALISTIC ERROR ESTIMATES; (B) TO CLOSE THE BUDGET OF THE EXCITATION AND DISSIPATION OF THE FCN OR TO ESTABLISH THAT THE BUDGET CANNOT BE CLOSED WITHIN UNCERTAINTIES OF GEODETIC OBSERVATIONS. OUR PRIMARY GEODETIC DATA WILL BE VERY LONG BASELINE INTERFEROMETRY (VLBI) GROUP DELAYS.",,,,
