Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work,,,,,,,,,,,,
"AEROSPACECOMPUTING, INC. [MOUNTAIN VIEW,CALIFORNIA]",NNA13AC90P,ARC - Ames Research Center,Moffett Field,CA,'18',9/26/2013,9/30/2014,", Small Disadvantaged Business, Small Business - Asian Pacific American Owned Business, Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Self Certified Small Disadvantaged Business","Purchase Order, Firm Fixed Price",0,"43,200","43,200",541512,N/A,N/A,IGF::OT::IGF  THE PURPOSE OF THIS PURCHASE IS FOR THE UPDATE AND RENEWAL OF CADRA SOFTWARE.,,,,,,,,,,,,
"AEROTECH, INC. [PITTSBURGH,PENNSYLVANIA]",NNC10VK61P,GRC - Glenn Research Center,Pittsburgh,PA,'04',9/11/2010,11/22/2014,", Small Business ONLY - For Profit Organization","Purchase Order, Firm Fixed Price",0,"18,151","18,151",335312,N/A,N/A,Motion Control Equipment,,,,,,,,,,,,
"AEROTECH, INC. [PITTSBURGH,PENNSYLVANIA]",NNC13VD42P,GRC - Glenn Research Center,PITTSBURGH,PA,'12',4/22/2013,6/4/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price",-61,"12,959","12,959",335312,N/A,N/A,ROTARY STAGE,,,,,,,,,,,,
"AEROTECH, INC. [PITTSBURGH,PENNSYLVANIA]",NNC14QA31P,GRC - Glenn Research Center,Pittsburgh,PA,'12',4/30/2014,8/30/2014,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","44,595","44,595","44,595",335312,N/A,N/A,"PURCHASE OF  MOTION STAGES, CONTROLLERS, AND PLASMA PROBES END USER: WENSHENG HUANG ANTICIPATED DELVOERY DATE: 08/30/14 VENDOR QUOTE ATTACHED AND INCORPORATED BY REFERENCE",,,,,,,,,,,,
"AEROTECH, INC. [PITTSBURGH,PENNSYLVANIA]",NNC14VC46P,GRC - Glenn Research Center,PITTSBURGH,PA,'12',9/18/2014,12/25/2015,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","40,895","40,895","40,895",335312,N/A,N/A,"IGF::IT::IGFPURCHASE OF MECHANICAL COMPONENTS, CONTROLS, AMPLIFIERS, CABLES, SERVICES AND WARRANTIES.",,,,,,,,,,,,
"AEROTECH, INC. [PITTSBURGH,PENNSYLVANIA]",NNG14HC58P,GSFC - Goddard Space Flight Center,Pittsburgh,PA,'12',8/6/2014,9/6/2014,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","27,702","27,702","27,702",332991,N/A,N/A,"PRO165-05MM ASSEMBLY, BRACKET, POWER CORD, CABLE AND JOYSTICK. 165MM WIDE BALLSCREW STAGE WITH BALL BEARING LINEAR RAILS.",,,,,,,,,,,,
"AEROTECH, INC. [PITTSBURGH,PENNSYLVANIA]",NNL12AD35P,LaRC - Langley Research Center,Pittsburgh,PA,'04',5/23/2012,8/30/2014,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price",0,"56,527","56,527",334516,N/A,N/A,THREE-AXIS TRAVERSE SYSTEM,,,,,,,,,,,,
"AEROTECH, INC. [PITTSBURGH,PENNSYLVANIA]",NNL13AG14P,LaRC - Langley Research Center,Pittsburgh,PA,'12',9/18/2013,11/30/2014,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price",0,"25,030","25,030",335312,N/A,N/A,"ROTARY STAGES, ELECTRONIC CONTROLLER, CONFIGURATION",,,,,,,,,,,,
"AERSALE, INC. [CORAL GABLES,FLORIDA]",NND13AC28P,AFRC - Armstrong Flight Research Center,CORAL GABLES,FL,'27',6/20/2013,7/10/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price",-150,"4,500","4,500",336413,N/A,N/A,WINDOW CLEARVIEW FOR DC-8,,,,,,,,,,,,
"AERSALE, INC. [CORAL GABLES,FLORIDA]",NND14AA11C,AFRC - Armstrong Flight Research Center,CORAL GABLES,FL,'27',11/14/2013,4/16/2014,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Definitive Contract, Firm Fixed Price","1,982,845","1,982,815","1,982,815",336411,N/A,N/A,IGF::OT::IGF  DC-8 HEAVY C CHECK.  THE SCOPE AND OBJECTIVE OF THE DC-8 HEAVY C CHECK STATEMENT OF WORK (E.G. 72 MONTH STRUCTURAL INSPECTION) IS TO PROVIDE NASA A NEW BASE-LINE MAINTENANCE CONFIGURATION TO START THE MSG-3 LOW UTILIZATION MAINTENANCE PROGRAM (LUMP) AUTHORIZED BY BOEING AND THE FEDERAL AVIATION ADMINISTRATION (FAA).,,,,,,,,,,,,
"AERSALE, INC. [CORAL GABLES,FLORIDA]",NND14SC15W,AFRC - Armstrong Flight Research Center,,FL,'27',6/30/2014,7/11/2014,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","7,000",0,0,336412,N/A,N/A,EGTS FOR DC8,,,,,,,,,,,,
"AETHER INDUSTRIES, LLC [ANN ARBOR,MICHIGAN]",NNX14CA50P,NSSC - NASA Shared Services Center,Ann Arbor,MI,'12',6/2/2014,12/19/2014,", Small Business Innovative Research, Small Business - For Profit Organization, Limited Liability Corporation, Sole Proprietorship","Purchase Order, Firm Fixed Price","124,648","124,648","124,648",541712,NNX14SBIRSELECTPHASEI,N/A,"IGF::OT::IGF  AETHER INDUSTRIES PROPOSES THE DEVELOPMENT OF A NOVEL, PRIMARY PLASMA PROPULSION SYSTEM THAT IS WELL SUITED FOR SMALL SPACECRAFT. THIS TECHNOLOGY, CALLED THE CUBESAT AMBIPOLAR THRUSTER (CAT), WOULD PROVIDE CUBESATS AND OTHER MICRO- AND NANO-SATELLITES WITH THE PROPULSIVE CAPABILITY TO MAKE MEANINGFUL ORBITAL PLANE AND ALTITUDE CHANGES   CAPABILITY THAT DOES NOT CURRENTLY EXIST WITH STATE-OFTHE- ART MICROPROPULSION TECHNOLOGIES. AS SUCH, THE CAT ENGINE IS AN ENABLING TECHNOLOGY THAT SUPPORTS NASA, COMMERCIAL, UNIVERSITY, AND MILITARY CUBESAT NEEDS FROM CONSTELLATION DEPLOYMENT TO LUNAR ORBIT INSERTION AND BEYOND. IN THE CAT ENGINE, A HIGH-POWER RF PLASMA DISCHARGE IS EXPANDED ADIABATICALLY ALONG A MAGNETIC NOZZLE TOPOLOGY ESTABLISHED BY PERMANENT MAGNETS. A RESULTANT AMBIPOLAR ELECTRIC FIELD ACCELERATES THE IONS TO HIGH ENERGIES TO GENERATE THRUST WHILE RETAINING HIGH PROPELLANT UTILIZATION. THE CAT ENGINE OFFERS A MEANS OF PROVIDING EFFICIENT AND HIGH THRUST-TO-POWER PRIMARY PROPULSION FOR CUBESATS AND MICROSATELLITES. THE CAT ENGINE PROMISES TO CHANGE THE CUBESAT PARADIGM FROM PASSIVE SENSOR CARRIERS TO FULLY CAPABLE MISSION-COMPLETING SPACECRAFT. SUCCESSFUL IMPLEMENTATION BY OUR TEAM WILL RESULT IN THE TRANSITION OF TECHNOLOGY DEVELOPED INTO THE COMMERCIAL SECTOR BY A SMALL BUSINESS, THE ENGAGEMENT OF THE NEXT GENERATION OF THE SPACE SECTOR WORKFORCE, AND THE INFUSION OF AN ADVANCED IN-SPACE PROPULSION TECHNOLOGY FOR FUTURE NASA, COMMERCIAL, AND GOVERNMENT MISSIONS.",,,,,,,,,,,,
"AETHERQUEST SOLUTIONS, INC. [FALLS CHURCH,VIRGINIA]",NNH12CE23C,HQ - Headquarters Acquisition Division,,DC,'00',12/14/2011,9/30/2014,", Veteran Owned Small Business, Small Disadvantaged Business, 8(A) Program, Small Business - Asian Pacific American Owned Business, Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Veteran Owned","Definitive Contract, Time and Materials","320,000","1,231,466","1,430,127",541611,N/A,N/A,"THE CONTRACTOR SHALL PROVIDE IN CLASSROOM INSTRUCTIONAL MATERIALS FOR THE NASA OFFICE OF SMALL BUSINESS PROGRAMS (NASA OSBP). THE REQUIREMENT IS TO DESIGN, DEVELOP, AND DELIVER INSTRUCTOR LED TRAINING ADDRESSING THE FOLLOW ING SUBJECT: NASA SMALL BUSINESS PROGRAM FOR ACQUISITION PERSONNEL (SBTAP), NASA SMALL BUSINESS TRAINING FOR TECHNICAL PERSONNEL (SBTIP), MARKET RESEARCH WORK SHOP (COMPUTER BASED), NASA SOURCE SELECTION TRAINING FOR SMALL BUSINESS AND AD HOC TRAINING. THE INSTRUCTOR-LED TRAINING SHALL BE DESIGNED FOLLOWING THE INDUSTRY STANDARDS AND CURRENT GOVERNMENT REGULATIONS. EACH IN -CLASSROOM INSTRUCTOR-LED TRAINING SHALL TOTAL APPROXIMATELY 4 - 16 HOURS OF INSTRUCTION. THE COURSE CONTENT SHALL BE REVISED AND UPDATED TO INCLUDE THE LATEST NASA MATERIAL AND FINALIZED UPON COMPLETION OF THE IN-CLASSROOM TRAINING.",,,,,,,,,,,,
"AETNA PLATING CO. [CLEVELAND,OHIO]",NNC13FA58P,GRC - Glenn Research Center,CLEVELAND,OH,'11',9/16/2013,1/31/2014,", Veteran Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods, Veteran Owned","Purchase Order, Firm Fixed Price",-600,"3,649","3,649",332813,N/A,N/A,CHROMATE CONVERSION AND PAINTING,,,,,,,,,,,,
"AETOS SYSTEMS, INC. [HUNTSVILLE,ALABAMA]",NNM10AA01C,MSFC - Marshall Space Flight Center,[N/A for IDVs],,'NA',3/31/2010,[None Indicated],", Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - American Indian Owned, Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business, Subchapter S Corporation, Women Owned","Indefinite Delivery Contract, Firm Fixed Price",0,"3,806,130",0,561210,N/A,N/A,"UTILITY CONTROL SYSTEMTHE PURPOSE OF THIS CONTRACT IS TO ACQUIRE SERVICES ENTITLED BUILDING AUTOMATION SYSTEM SUPPORT FOR CENTER OPERATIONS. THE CONTRACT PROVIDES TWO BASIC METHODS FOR THE ACQUISITION OF THESE SERVICES. THE FIRST METHOD IS FIRM FIXED PRICE (FFP) LUMP SUM. UNDER THIS METHOD THE CONTRACTOR IS REQUIRED TO FURNISH THE SERVICES IDENTIFIED AS LISTED IN ATTACHMENT J-1. THE SECOND METHOD IS INDEFINITE DELIVERY/INDEFINITE QUANTITY (IDIQ) ORDERING, WHICH PROVIDES FOR THE ACQUISITION OF ADDITIONAL LABOR, SUPPLIES, AND OTHER SERVICES THAT CANNOT BE SUFFICIENTLY IDENTIFIED, PREDETERMINED, OR QUANTIFIED IN ADVANCE. SEE CLAUSES B.6, TASK/DELIVERY ORDERS, AND H.2, TASK ORDERING PROCEDURE.",,,,,,,,,,,,
"AETOS SYSTEMS, INC. [HUNTSVILLE,ALABAMA]",NNM12AA45C,MSFC - Marshall Space Flight Center,[N/A for IDVs],,'NA',9/26/2012,[None Indicated],", Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - American Indian Owned, Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business, Subchapter S Corporation, Women Owned","Indefinite Delivery Contract, Firm Fixed Price","1,326,007","3,148,016",0,561210,N/A,N/A,IGF::CT::IGFUTILITY CONTROL SYSTEM THE PURPOSE OF THIS CONTRACT IS TO ACQUIRE SERVICES ENTITLED BUILDING AUTOMATION SYSTEM SUPPORT FOR CENTER OPERATIONS.,,,,,,,,,,,,
"AETOS SYSTEMS, INC. [HUNTSVILLE,ALABAMA]",NNM14AA04T,MSFC - Marshall Space Flight Center,Huntsville,AL,'05',10/22/2013,9/30/2014,", Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - American Indian Owned, Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business, Subchapter S Corporation, Women Owned","Delivery Order, Firm Fixed Price","8,970","8,970","8,970",561210,N/A,N/A,IGF::CT::IGF PROVIDE UCS TEST EQUIPMENT.,,,,,,,,,,,,
"AETOS SYSTEMS, INC. [HUNTSVILLE,ALABAMA]",NNM14AA11T,MSFC - Marshall Space Flight Center,HUNTSVILLE,AL,'05',11/4/2013,10/29/2015,", Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - American Indian Owned, Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business, Subchapter S Corporation, Women Owned","Delivery Order, Firm Fixed Price","251,490","251,490","251,490",561210,N/A,N/A,IGF::CT::IGFPROVIDE ADDITIONAL AETOS PERSONNEL TO SUPPORT ENERGY INITIATIVES AND CONTRACTOR EMPLOYEE DEPARTMENT.,,,,,,,,,,,,
"AETOS SYSTEMS, INC. [HUNTSVILLE,ALABAMA]",NNM14AA15C,MSFC - Marshall Space Flight Center,[N/A for IDVs],,'NA',5/8/2014,[None Indicated],", Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - American Indian Owned, Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, Self Certified Small Disadvantaged Business, Subchapter S Corporation, Women Owned","Indefinite Delivery Contract, Firm Fixed Price","1,513,723","16,584,804",0,541990,N/A,N/A,IGF::OT::IGF OFFICE OF HUMAN CAPITAL SUPPORT SERVICES,,,,,,,,,,,,
"AETOS SYSTEMS, INC. [HUNTSVILLE,ALABAMA]",NNM14AA20C,MSFC - Marshall Space Flight Center,[N/A for IDVs],,'NA',9/29/2014,[None Indicated],", Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - American Indian Owned, Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, Self Certified Small Disadvantaged Business, Subchapter S Corporation, Women Owned","Indefinite Delivery Contract, Firm Fixed Price","300,000","3,458,076",0,561210,N/A,N/A,IGF::CT::IGFUTILITY CONTROL SYSTEM THE PURPOSE OF THIS CONTRACT IS TO ACQUIRE SERVICES ENTITLED BUILDING AUTOMATION SYSTEM SUPPORT FOR CENTER OPERATIONS.,,,,,,,,,,,,
"AETOS SYSTEMS, INC. [HUNTSVILLE,ALABAMA]",NNM14AA34T,MSFC - Marshall Space Flight Center,HUNTSVILLE,AL,'05',5/30/2014,11/30/2020,", Small Disadvantaged Business, Woman Owned Small Business, Small Business - American Indian Owned, Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, Self Certified Small Disadvantaged Business, Subchapter S Corporation, Women Owned","Delivery Order, Firm Fixed Price","344,969","2,598,054","2,598,054",541990,N/A,N/A,IGF::OT::IGF TASK ORDER #1 FOR PERSONNEL SUPPORT FOR 4 WYE (WORK YEAR EQUIVALENT),,,,,,,,,,,,
"AETOS SYSTEMS, INC. [HUNTSVILLE,ALABAMA]",NNM14AA35T,MSFC - Marshall Space Flight Center,HUNTSVILLE,AL,'05',5/30/2014,11/30/2019,", Small Disadvantaged Business, Woman Owned Small Business, Small Business - American Indian Owned, Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, Self Certified Small Disadvantaged Business, Subchapter S Corporation, Women Owned","Delivery Order, Firm Fixed Price","647,799","7,261,317","7,407,394",541990,N/A,N/A,"IGF::OT::IGF ACADEMIC AFFAIRS, AETOS SYSTEMS, INC., CONTRACT NNM14AA15C, OFFICE OF HUMAN CAPITAL SUPPORT SERVICES (OHCSS)",,,,,,,,,,,,
"AETOS SYSTEMS, INC. [HUNTSVILLE,ALABAMA]",NNM14AA37T,MSFC - Marshall Space Flight Center,HUNTSVILLE,AL,'05',3/25/2014,9/30/2014,", Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - American Indian Owned, Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business, Subchapter S Corporation, Women Owned","Delivery Order, Firm Fixed Price","3,488","3,488","3,488",561210,N/A,N/A,IGF::CT::IGFPROVIDE 80 HOURS OF DATA ENTRY TO SUPPORT CONTINUOUS RUN PROJECT.  TRAVEL FOR TWO (2) AETOS CONTRACT PERSONNEL TO DORSETT TECHNOLOGIES CORPORATE OFFICE IN NORTH CAROLINA TO ASSIST THE GOVERNMENT IN A PROJECT REVIEW SESSION.,,,,,,,,,,,,
"AETOS SYSTEMS, INC. [HUNTSVILLE,ALABAMA]",NNM14AA39T,MSFC - Marshall Space Flight Center,Huntsville,AL,'05',4/10/2014,6/11/2014,", Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - American Indian Owned, Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business, Subchapter S Corporation, Women Owned","Delivery Order, Firm Fixed Price","3,863","3,863","3,863",561210,N/A,N/A,"IGF::CT::IGF  PROVIDE FOR ONE PERSON TO ATTEND ENERGY MANAGEMENT TRAINING (EMII) AT NORTH CAROLINA STATE UNIVERSITY MAY 12-16, 2014.  THE PERIOD OF PERFORMANCE (INCLUDING REPORT SUBMISSION) IS THROUGH 6/11/14.",,,,,,,,,,,,
"AETOS SYSTEMS, INC. [HUNTSVILLE,ALABAMA]",NNM14AA42T,MSFC - Marshall Space Flight Center,Huntsville,AL,'05',5/28/2014,8/1/2014,", Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - American Indian Owned, Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business, Subchapter S Corporation, Women Owned","Delivery Order, Firm Fixed Price","4,513","4,513","4,513",561210,N/A,N/A,IGF::CT::IGF PROVIDE ADAPTER WITH ACCESSORIES FOR COMMUNICATING WITH SEL SITE KW METERS VIA LAPTOP,,,,,,,,,,,,
"AETOS SYSTEMS, INC. [HUNTSVILLE,ALABAMA]",NNM14AA59T,MSFC - Marshall Space Flight Center,HUNTSVILLE,AL,'05',6/26/2014,9/26/2014,", Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - American Indian Owned, Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business, Subchapter S Corporation, Women Owned","Delivery Order, Firm Fixed Price","50,953","50,953","50,953",561210,N/A,N/A,IGF::CT::IGFPROVIDE ADDITIONAL PERSONNEL IN SUPPORT OF MSFC''S CONTINUOUS RUN PROGRAM IMPLEMENTATION.,,,,,,,,,,,,
"AETOS SYSTEMS, INC. [HUNTSVILLE,ALABAMA]",NNM14AA60T,MSFC - Marshall Space Flight Center,Huntsville,AL,'05',7/1/2014,8/1/2014,", Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - American Indian Owned, Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business, Subchapter S Corporation, Women Owned","Delivery Order, Firm Fixed Price","7,381","7,381","7,381",561210,N/A,N/A,IGF::CT::IGF  PROVIDE FUNDING FOR THE PURCHASE OF VARIOUS CRITICAL SPARE PARTS AND NECESSARY APPURTENANCES.,,,,,,,,,,,,
"AETOS SYSTEMS, INC. [HUNTSVILLE,ALABAMA]",NNM14AA93T,MSFC - Marshall Space Flight Center,HUNTSVILLE,AL,'05',8/27/2014,9/30/2014,", Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - American Indian Owned, Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business, Subchapter S Corporation, Women Owned","Delivery Order, Firm Fixed Price","10,037","10,037","10,037",561210,N/A,N/A,IGF::CT::IGFPURCHASE SPARE FOR CRITICAL UNINTERRUPTED UCS EQUIPMENT,,,,,,,,,,,,
"AETOS SYSTEMS, INC. [HUNTSVILLE,ALABAMA]",NNM14AD27P,MSFC - Marshall Space Flight Center,Huntsville,AL,'05',4/30/2014,5/30/2014,", Small Disadvantaged Business, Woman Owned Small Business, Small Business - American Indian Owned, Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Native American Owned Business, SBA Certified 8A Program Participant, Self Certified Small Disadvantaged Business, Subchapter S Corporation, Women Owned","Purchase Order, Firm Fixed Price","17,563","17,563","17,563",541990,N/A,N/A,IGF::OT::IGF OHCSS PHASE-IN ACTIVITIES,,,,,,,,,,,,
"AFC INTERNATIONAL, INC [DEMOTTE,INDIANA]",NNC14VE49P,GRC - Glenn Research Center,,IN,'04',8/12/2014,9/30/2014,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Subchapter S Corporation, Women Owned, Women Owned Small Business","Purchase Order, Firm Fixed Price","5,071","5,071","5,071",334519,N/A,N/A,"CHEMICAL MONITORING DEVICE, TLD PORTABLE METER AND REPLACEMENT TAPES.",,,,,,,,,,,,
"AFC INTERNATIONAL, INC [DEMOTTE,INDIANA]",NNG14VJ09P,GSFC - Goddard Space Flight Center,Demotte,IN,'04',9/11/2014,10/10/2014,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Subchapter S Corporation, Women Owned, Women Owned Small Business","Purchase Order, Firm Fixed Price","3,352","3,352","3,352",423610,N/A,N/A,"MINIRAE 3000 UNIT - ADVANCED HANDHELD VOLATILE ORGANIC COMPOUND MONITOR, QTY. 1 EACH.",,,,,,,,,,,,
"AFFIGENT, LLC [HERNDON,VIRGINIA]",NNA13SB35D,ARC - Ames Research Center,Moffett Field,CA,'18',8/23/2013,8/22/2014,", Small Disadvantaged Business, Small Business - Alaskan Native Owned Corporation Or Firm, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Minority Owned, Native American Owned Business, Self Certified Small Disadvantaged Business","Delivery Order, Firm Fixed Price",0,"7,348","7,348",541519,N/A,N/A,"IGF::OT::IGF  S/W UPDATE LIC AND SUPPORT, SEWP FEE",,,,,,,,,,,,
"AFFIGENT, LLC [HERNDON,VIRGINIA]",NNA14SA08D,ARC - Ames Research Center,Moffett Field,CA,'18',2/20/2014,2/9/2015,", Small Disadvantaged Business, Small Business - Alaskan Native Owned Corporation Or Firm, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Minority Owned, Native American Owned Business, Self Certified Small Disadvantaged Business","Delivery Order, Firm Fixed Price","22,530","22,530","22,530",541519,N/A,N/A,IGF::OT::IGF OTHER FUNCTIONS  002 SUPPORT COVERAGE SVC-ND-N5400-L 003 SUPPORT COVERAGE SVC-ND-N5400-L 004  SUPPORT COVERAGE SVC-ND-EX-LC8XS 005  SUPPORT COVERAGE SVC-ND-EX-LC8XS 006  SUPPORT COVERAGE SVC-ND-EX-LC48F 007  SUPPORT COVERAGE SVC-ND-EX-LC48F 008  SUPPORT COVERAGE SVC-ND-EX8208  009  SUPPORT COVERAGE SVC-ND-EX8208 010  SEWP FEE,,,,,,,,,,,,
"AFFIGENT, LLC [HERNDON,VIRGINIA]",NNA14SA10D,ARC - Ames Research Center,Herndon,VA,'10',1/10/2014,2/14/2014,", Small Disadvantaged Business, Small Business - Alaskan Native Owned Corporation Or Firm, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Minority Owned, Native American Owned Business, Self Certified Small Disadvantaged Business","Delivery Order, Firm Fixed Price","14,902","14,902","14,902",541519,N/A,N/A,"002 FRAME W/ 2 PAIRS 19\ MOUNTING RAILS (M6 003  ES TOP PANEL W/ BRUSH GROMMET 004  MESH CONTOUR DOOR FOR 78\""HX24\""W 005  SPLIT MESH STEEL DOOR FOR 78\""HX24\""W      006  PAIR LOCKING LIFT-OFF SIDE PANELS FOR 78 007  BRUSH GROMMET BOTTOM PANEL 24\""WX42\""D 008  FRAME W/ 2 PAIRS 19\"" MOUNTING RAILS (M6) 009  ES TOP PANEL W/ BRUSH GROMMET 010  \""MESH CONTOUR DOOR FOR 78\""HX29\""W  011  SPLIT MESH STEEL DOOR FOR 78\""HX29\""W  012  BRUSH GROMMET BOTTOM PANEL 30\""WX42\""D 013  CABLE MANAGEMENT RAIL KIT 014  SEWP FEE""",,,,,,,,,,,,
"AFFIGENT, LLC [HERNDON,VIRGINIA]",NNA14SA16D,ARC - Ames Research Center,,CA,'18',1/21/2014,12/31/2014,", Small Disadvantaged Business, Small Business - Alaskan Native Owned Corporation Or Firm, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Minority Owned, Native American Owned Business, Self Certified Small Disadvantaged Business","Delivery Order, Firm Fixed Price","14,773","14,773","14,773",541519,N/A,N/A,IGF:OT:IGF 001  ORACLE HARDWARE SUPPORT   002  SEWP FEE,,,,,,,,,,,,
"AFFIGENT, LLC [HERNDON,VIRGINIA]",NNA14SA61D,ARC - Ames Research Center,Moffett Field,CA,'18',5/27/2014,5/26/2015,", Small Disadvantaged Business, Small Business - Alaskan Native Owned Corporation Or Firm, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Minority Owned, Native American Owned Business, Self Certified Small Disadvantaged Business","Delivery Order, Firm Fixed Price","8,645","8,645","8,645",541519,N/A,N/A,IGF::OT::IGF OTHER FUNCTIONS 001  NSM SOFTWARE ONLY BASE SYSTEM  002  ADDITIONAL INCREMENTS OF 25 003  JUNIPER CARE CORE SUPPORT FOR NSM-S-BSE  004  JUNIPER CARE CORE SUPPORT FOR NSM-A25 005  SEWP FEE,,,,,,,,,,,,
"AFFIGENT, LLC [HERNDON,VIRGINIA]",NNA14SB38D,ARC - Ames Research Center,Herndon,VA,'10',9/9/2014,9/22/2015,", Small Disadvantaged Business, Small Business - Alaskan Native Owned Corporation Or Firm, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Minority Owned, Native American Owned Business, Self Certified Small Disadvantaged Business","Delivery Order, Firm Fixed Price","7,192","7,192","7,192",541519,N/A,N/A,IGF:OT:IGF OTHER FUNCTIONS SOFTWARE UPDATE LICENSE AND SUPPORT,,,,,,,,,,,,
"AFFIGENT, LLC [HERNDON,VIRGINIA]",NND12AB95P,AFRC - Armstrong Flight Research Center,EDWARDS,CA,'23',5/8/2012,5/8/2013,", Small Disadvantaged Business, Small Business - Alaskan Native Owned Corporation Or Firm, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Minority Owned, Native American Owned Business, Self Certified Small Disadvantaged Business","Delivery Order, Firm Fixed Price",0,"300,509","300,509",541519,N/A,N/A,MCAFEE SERVICES,,,,,,,,,,,,
