Asta K. Pellinen-Wannberg,"['Swedish Inst Space Physics', 'Kiruna Division', 'Box 812', '981 28 Kiruna', 'Sweden']"
Eric R Keto,"['Center for Astrophysics', 'ms 78', '60 Garden Street', 'Cambridge 02138', 'Massachusetts (MA)', 'United States']"
Charles (Tony) D. Keyes,"['Space Telescope Science Institute', 'INS', '3700 San Martin Drive', 'Baltimore 21218', 'Maryland (MD)', 'United States']"
Olga V. Khabarova,"['Institute of Terrestrial Magnetism (IZMIRAN)', 'Heliophysical laboratory', 'Kaluzhskoe Hwy 4, IZMIRAN', '142190 Troitsk, Moscow', 'Russian Federation']"
Viktor Khalack,"['Université de Moncton', ""Département de physique et d'astronomie"", '18 Avenue Antonine-Maillet', 'Moncton E1A 3E9', 'New Brunswick (NB)', 'Canada']"
Irek M. Khamitov,"['TÜBİTAK National Observatory', 'Akdeniz University Campus', '07058 Antalya', 'Turkey']"
Fazeel Mahmood Khan,"['Institute of Space Technology Islamabad', 'Space Science', 'Institute of Space Technology,  Islamabad Hwy.', 'Islamabad 44000', 'Pakistan']"
Preeti Kharb,"['National Centre for Radio Astrophysics - Tata Institute of Fundamental Research (NCRA - TIFR)', 'S. P. Pune University Campus', 'Ganeshkhind', 'Pune 411007', 'Maharashtra', 'India']"
El Amira Hend Said Khattab,"['Faculty of Science , Cairo University', 'Astronomy, Space Science and Meteorology', 'Egypt,Giza,Cairo Uni.,Astronomy Dept', 'Giza 12613', 'Egypt']"
Sergey Alexandrovich Khoperskov,"['Institute of Astronomy of the RAS', 'Dept. of Physics of Stellar and Planetary Systems', '48 Pyatnitskaya St.', '119017 Moscow', 'Russian Federation']"
Alina A Kiessling,"['JPL', '4800 Oak Grove Drive', 'MS 169-236', 'Pasadena 91109', 'California (CA)', 'United States']"
Hyosun KIM,"['Korea Astronomy and Space Science Institute 776,', 'Daedeokdae-ro, Yuseong-gu', 'Daejeon 305-348', 'Korea, Rep of']"
Hansik Kim,"['The University of Melbourne', 'School of Physics', 'School of Physics, The University of Melbourne', 'Parkville', 'Victoria (VIC)', 'Australia']"
Hak-Sub KIM,"['Korea Astronomy and Space Science Institute', 'Optical Astronomy Division', '776, Daedeokdae-ro', 'Yuseong-gu', 'Daejeon 34055', 'Korea, Rep of']"
Chang-Goo Kim,"['Princeton University', 'Astrophysical Sciences', '4 Ivy Lane', 'Peyton Hall', 'Princeton 08544', 'New Jersey (NJ)', 'United States']"
Jihyun KIM,"['Ulsan National Institute of Science and Technology', 'Department of Physics, School of Natural Sciences', 'Ulsan National Institute of Science and Technology', 'Dept. of Physics, School of Natural Sciences', 'Ulsan 689-798', 'Korea, Rep of']"
Daisuke KINOSHITA,"['National Central University', 'Institute of Astronomy', '300 Jhongda Rd.', 'Jhongli', 'Taoyuan 32001', '-', 'China, Taipei']"
Francisco Kitaura,"['--', 'Spain']"
Edwin S Kite,"['University of Chicago', 'Department of Geophysical Sciences', '5734 S. Ellis Ave.', 'Chicago 60637', 'Illinois (IL)', 'United States']"
Marc Klein Wolt,"['Radboud University Nijmegen', 'Astrophysics', 'Heijendaalseweg 135', '6525 AJ Nijmegen', 'Netherlands']"
Lucia Kleint,"['Fachhochschule Nordwestschweiz', 'Bahnhofstrasse 6', '5210 Windisch', 'Switzerland']"
Valerii Kleshchonok,"['Taras Shevchenko National University of Kyiv', '3, Observatorna St.', 'Kyiv 04053', 'Ukraine']"
Jürgen Knödlseder,"['IRAP', 'GAHEC', '9, avenue du Colonel Roche', '31028 Toulouse', 'France']"
Jongwan Ko,"['Korea Astronomy and Space Science Institute', 'Galaxy Evolution Group', 'Korea Astronomy and Space Science Institute', '776, Daedeokdae-ro, Yuseong-gu', 'Daejeon 305-348', 'Korea, Rep of']"
Jun Yi Koay,"['University of Copenhagen', 'Dark Cosmology Centre, Niels Bohr Institute', 'Juliane Maries Vej 30', '2100 Copenhagen Ø', 'Denmark']"
Elmar Körding,"['Radboud Universiteit', 'Department of Astronomy', 'Heyendaalseweg 135', '6526 AJ Nijmegen', 'Netherlands']"
Yuriy Kolesnyk,"['Main Astronomical Observatory of NASU', '27, Akademika Zabolotnoho St.', 'Kyiv 03680', 'Ukraine']"
Kostadinka Koleva,"['Institute of Astronomy', 'Tsarigradsko shosse 72', 'Sofia', 'Bulgaria']"
Yutaka KOMIYA,"['University of Tokyo', 'Research Center for the Early Universe', '7-3-1 Hongo, Bunkyo-ku', 'Tokyo 113-0033', 'Kanto', 'Japan']"
Shinya KOMUGI,"['Kogakuin University', 'Division of Liberal Arts', '2665-1 Nakano-machi, Hachioji-shi', 'Tokyo 192-0015', 'Kanto', 'Japan']"
Boris Petrovich Kondratyev,"['M.V. Lomonosov Moscow State University', 'Sternberg Astronomical Institute', '13 Universitetskij prospect', '119992 Moscow', 'Russian Federation']"
Ludmila Kondratyeva,"['Fessenkov Astrophysical Institute', 'Laboratoty of physics of stars and nebulae', 'Observatory - 20, apart.  18', '050020 Almaty', 'Kazakhstan']"
Dmitry Kononov,"['Institute of Astronomy of the RAS', 'Department of Stellar Physics and Evolution', '48 Pyatnitskaya Str.', '119017 Moscow', 'Russian Federation']"
Quinn M. Konopacky,"['University of California, San Diego', 'Physics, Center for Astrophysics & Space Sciences', '9500 Gilman Drive', 'Mail Code 0424', 'La Jolla 92093-0424', 'California (CA)', 'United States']"
Iraklis Konstantopoulos,"['Australian Astronomical Observatory', 'Astronomy Group', 'PO Box 915', 'North Ryde 1670', 'New South Wales (NSW)', 'Australia']"
Ioannis Kontogiannis,"['Leibniz-Institute for Astronomy, Potsdam', 'Optical Solar Physics Group', 'An der Sternwarte 16', '14482 Potsdam', 'Germany']"
Valentin Stanchev Kopchev,"['Technical University', 'Sofia 1000, 8 Kl. Ohridski Blvd', 'Bulgaria']"
Greg Kopp,"['University of Colorado', 'LASP', '3665 Discovery Drive', 'Boulder 80303', 'Colorado (CO)', 'United States']"
Georges Kordopatis,"['Leibniz-Institut fur Astrophysik Potsdam (AIP)', 'An der Sternwarte 16', '14482 Potsdam', 'Germany']"
Roland Josef Kothes,"['National Research Council of Canada', 'Dominion Radio Astrophysical Obervatory', 'P.O. Box 248', 'Penticton V2A 6J9', 'British Columbia (BC)', 'Canada']"
Marissa M Kotze,"['South African Astronomical Observatory', 'PO Box 9', 'Observatory', '7535 Cape Town', 'South Africa']"
Elias Koulouridis,"['National Observatory of Athens', 'Institute for Astronomy, Astrophysics, Space Applications & Remote Sensing', 'Vas. Pavlou & I. Metaxa', 'GR-15236 Penteli', 'Greece']"
Shinjirou KOUZUMA,"['Chukyo University', 'School of International Liberal Studies', '101-2 Yagotohonmachi, Showa-ku, Nagoya-shi', 'Aichi 466-8666', 'Chubu', 'Japan']"
John M Kovac,"['Harvard University', 'Astronomy Department', '60 Garden Street, MS 42', 'Cambridge 02138', 'Massachusetts (MA)', 'United States']"
Tamás Kovacs,"['Research Centre for Astronomy and Earth Sciences', 'Konkoly Observatory', 'Konkoly Thege Miklos ut 15-17.', '1121 Budapest', 'Hungary']"
Alfred B. Krabbe,"['University of Stuttgart', 'Deutsches SOFIA Institut', 'Pfaffenwaldring 29', '70569 Stuttgart', 'Germany']"
Alexander Kreplin,"['University of Exeter', 'Department of Physics and Astronomy', 'Stocker Road', 'Exeter EX4 4QL', 'Devon', 'United Kingdom']"
Michal Křížek,"['Institute of Mathematics AS CR', 'Constructive Methods of Mathematical Analysis', 'Žitná 25', '115 67 Prague 1', 'Czech Republic']"
Elena A. Kronberg,"['Max Plank Institute for Solar System Research', 'Planetary', 'Justus-von-Liebig-Weg 3', '37077 Göttingen', 'Germany']"
Alberto Garcez de Oliveira Krone Martins,"['Universidade de Lisboa', 'Faculdade de Ciências', 'Faculdade de Ciências da Universidade de Lisboa', 'Ed. C8, Room 8.5.02 Campo Grande', '1749-016 Lisboa', 'Portugal']"
Gert H. Kruithof,"['ASTRON', 'R&D', 'Oude Hoogeveensedijk 4', '7991 PD DWINGELOO', 'Netherlands']"
Viktoriia Krushevska,"['Main Astronomical Observatory of NASU', '27, Akademika Zabolotnoho St.', 'Kyiv 03680', 'Ukraine']"
Brankica Kubatova,"['Astronomical Institute AS CR', 'Stellar Physics', 'Fričova 298', '25165 Ondřejov', 'Czech Republic']"
Yuki KUBO,"[""Nat'l Inst. of Info. and Communications Technology"", 'Applied Electromagnetic Research Institute', '4-2-1 Nukuikita, Koganei-shi', 'Tokyo 184-8795', 'Kanto', 'Japan']"
Christoph Kuckein,"['Leibniz Institute for Astrophysics Potsdam (AIP)', 'Optical Solar Physics Group', 'An der Sternwarte 16', '14482 Potsdam', 'Germany']"
Yurij Kulinich,"['Ivan Franko National University of Lviv', '8, Kyrylo and Mefodij St.', 'Lviv 79005', 'Ukraine']"
Iryna Kulyk,"['Main Astronomical Observatory of NASU', 'Physics of small celestial bodies', '27, Akademika Zabolotnoho St.', 'Kyiv 03680', 'Ukraine']"
Nanda M. S. Kumar,"['Centro de Astrofísica da Universidade do Porto', 'Rua das Estrelas, s/n, 4150-762', 'Porto', 'Portugal']"
Andrea Kunder,"[""Saint Martin's University"", 'Department of Natural Sciences', '5000 Abbey Way SE', 'Olympia 98503', 'Washington (WA)', 'United States']"
Emil Kundra,"['Astronomical Institute, Slovak Academy of Sciences', 'Stellar department', 'Tatranska Lomnica', '059 60 Vysoke Tatry', 'Slovakia']"
Devaky Kunneriath,"['Astronomical Institute AS CR', 'Galaxies and Planetary Systems', 'Boční II 1401', '141 00 Prague', 'Czech Republic']"
Andreas H.W. Kupper,"['Columbia University', 'Department of Astronomy', '550 W 120th Street', 'New York 10027', 'New York (NY)', 'United States']"
Sergei Leonidovich Kurdubov,"['Institute of Applied Astronomy', 'Laboratory of Space Geodesy and Earth Rotation', 'nab. Kutuzova 10', '191187 St. Petersburg', 'Russian Federation']"
Nobuhiko KUSAKABE,"['National Astronomical Observatory of Japan', 'Extra-Solar Planet Office', '2-21-1 Osawa, Mitaka-shi', 'Tokyo 181-8588', 'Kanto', 'Japan']"
Anatoly Kusakin,"['Fessenkov Astrophysical Institute', '34 Kislovodskaya Str.', '050061 Almaty', 'Kazakhstan']"
Erik Kuulkers,"['ESA', 'SCI-O', 'Keplerlaan 1', '2201 AZ Noordwijk', 'Netherlands']"
Olgica Kuzmanovska,"['Faculty of Natural Sciences and Mathematics', 'Department of Physics', 'Arhimedova 3, P.O. Box 162', '1000 Skopje', 'Macedonia, Former Rep of Yugoslavia']"
Kyujin KWAK,"['Ulsan National Institute of Science & Technology', 'School of Natural Science', '50 UNIST-gil', 'Ulju-gun', 'Ulsan 689-798', 'Korea, Rep of']"
Lucas Labadie,"['Universität zu Köln', 'I. Physikalisches Institut', 'Zülpicher Str. 77', '50937 Köln', 'Germany']"
Pedro Lacerda,"['Astrophysics Research Centre', ""Queen's University Belfast"", 'Belfast BT7 1NN', 'Northen Ireland', 'United Kingdom']"
Elvis Javier Lacruz,"['Centro de Investigaciones de Astronomia', 'Scientific Department', 'Av. Alberto Carnevalli Sector La Hechicera. CIDA', 'Merida 5101', 'Venezuela']"
Seppo Laine,"['California Institute of Technology', 'Spitzer Science Center', '1200 East California Blvd', 'Mail Stop 314-6', 'Pasadena 91125', 'California (CA)', 'United States']"
Valéry Lainey,"['Observatoire de Paris', 'IMCCE', '77 Avenue Denfert-Rochereau', '75014 Paris', 'France']"
Livio Lamia,"['Università degli Studi di Catania', 'Department of Physics and Astronomy', 'via Santa Sofia, 62', '95123 Catania', 'Italy']"
Laurent Lamy,"['Observatoire de Paris', 'LESIA', '5, Place Jules Janssen', '92190 Meudon', 'France']"
Philip P Langill,"['University of Calgary', 'Department of Physics and Astronomy', '2500 University Drive NW', 'Rothney Astrophysical Observatory', 'Calgary T2N 1N4', 'Alberta (AB)', 'Canada']"
Maud Langlois,"['CNRS', 'CENTRE DE RECHERCHE ASTROPHYSI', '9 avenue Charles André', '69561 saint genis laval', 'France']"
Barbara Lanzoni,"['University of Bologna', 'Department of Physics and Astronomy', 'Viale Berti Pichat 6/2', '40127 Bologna', 'Italy']"
Tatiana Ivanovna Larchenkova,"['P.N. Lebedev Physical Institute of the RAS', 'Astro Space Centre', '53 Leninskij Prospekt', '119991 Moscow', 'Russian Federation']"
Edward A. Larranaga,"['National University of Colombia', 'National Astronomical Observatory', 'Universidad Nacional de Colombia.', 'Observatorio Astronomico Nacional. Cra 45 # 26-85', 'Bogotá', 'Colombia']"
Bengt EM Larsson,"['Stockholm University', 'Department of Astronomy', 'AlbaNova University Center', '106 91 Stockholm', 'Sweden']"
Josefin Larsson,"['AlbaNova University Centre', 'Stockholm', 'Sweden']"
Olivera Latkovic,"['Astronomical Observatory', 'Volgina 7', '11060 Belgrade', 'Serbia, Republic of']"
Guilhem Lavaux,"['CNRS', ""Institut d'Astrophysique de Paris"", '98bis Boulevard Arago', '75014 PARIS', 'France']"
Stephen Scott Lawrence,"['Hofstra University', 'Dept. of Physics and Astronomy', '151 Hofstra University', 'Hempstead 11530', 'New York (NY)', 'United States']"
Brandon Lee Lawton,"['Space Telescope Science Institute', 'Office of Public Outreach', '3700 San Martin Drive', 'Baltimore 21218', 'Maryland (MD)', 'United States']"
Silas G.T. Laycock,"['University of Massachusetts Lowell', 'Dept. of Physics and Applied Physics', 'One University Avenue', 'Olney Hall 136', 'Lowell 01854', 'Massachusetts (MA)', 'United States']"
Albert Lazzarini,"['California Institute of Technology', 'LIGO Laboratory, PMA', 'M/C 100-36', '1200 E. California Blvd.', 'Pasadena 91125', 'California (CA)', 'United States']"
Karine Le Bail,"['Chalmers University Of Technology', 'Space Geodesy and Geodynamics/Onsala Space Observatory/Space Earth and Environment', 'Onsala', 'Sweden']"
Amandine M. C. Le Brun,"['Observatory of Meudon', 'Meudon', 'France']"
Alexie Leauthaud,"['Kavli IPMU', '5-1-5 kashiwanoha', 'Kashiwa chibaken 277-8583', 'Chubu', 'Japan']"
Francis LeBlanc,"['Université de Moncton', ""Département de physique et d'astronomie"", 'Rue Antonine-Maillet', 'Moncton', 'New Brunswick (NB)', 'Canada']"
Chin-Fei LEE,"['Academia Sinica', 'Institute of Astronomy and Astrophysics', '11F of Astronomy-Mathematics Building, NTU.', 'No.1, Roosevelt Rd, Sec. 4,', 'Taipei', '-', 'China, Taipei']"
Seong-Kook LEE,"['Seocho-gu, Banpo-dong', 'Raemian Firstige Apartment, 101-1302', 'Seoul', 'Korea, Rep of']"
Ho-Gyu LEE,"['Korea Astronomy and Space Science Institute', '776 Daedeokdae-ro, Yuseong', 'Daejeon', 'Korea, Rep of']"
Shiu-Hang Herman LEE,"['Kyoto University', 'Department of Astronomy', 'Oiwake-cho, Kitashirakawa, Sakyo-ku', 'Kyoto 606-8502', 'Kinki', 'Japan']"
Janice C. Lee,"['Caltech', 'IPAC', 'MC 314-6', '1200 E California Blvd', 'Pasadena 91125', 'California (CA)', 'United States']"
Matthew Joseph LEHNER,"['Academia Sinica', 'Institute of Astronomy and Astrophysics', '11F of Astronomy-Mathematics Building, AS/NTU', 'No.1, Sec. 4, Roosevelt Rd,', 'Taipei 10617', 'China, Taipei']"
Nicolas Lehner,"['University of Notre Dame', 'Physics', '225 Nieuwland Science Hall', 'Notre Dame 46556', 'Indiana (IN)', 'United States']"
Jean-Philippe Lenain,"['CNRS/IN2P3', 'LPNHE', 'LPNHE, Boîte courrier 200', '4 place Jussieu', '75252 Paris', 'France']"
Ioanna Leonidaki,"['Department of Physics', 'University of Crete', '70013 Heraklion', 'Greece']"
Nicolas Leroy,"[""Laboratoire de l'Accélérateur Linéaire"", 'Centre Scientifique Paris Sud - Bat 200 - BP34', '91898 Orsay Cedex', 'France']"
Emily M Levesque,"['University of Washington', 'Department of Astronomy', 'Box 351580', 'Seattle 98195', 'Washington (WA)', 'United States']"
Nikole K. Lewis,"['Space Telescope Science Institute', '3700 San Martin Drive', 'Baltimore 21218', 'United States']"
Zhuo LI,"['Peking University', 'Department of Astronomy, School of Physics', 'Kavli Institute for Astronomy and Astrophysics', 'Peking University', 'Beijing 100871', 'Beijing', 'China, Nanjing']"
Cheng LI,"['Tsinghua University', 'Tsinghua Center for Astrophysics', 'Qinghuayuan No. 1', 'Beijing 100084', 'Beijing', 'China, Nanjing']"
Di LI,"['National Astronomical Observatories, CAS', '20A Datun Road', 'Chaoyang District', 'Beijing 100012', 'Beijing', 'China, Nanjing']"
Zhiyuan LI,"['Nanjing University', 'School of Astronomy and Space Science', 'Department of Astronomy, Nanjing University', '163 Xianlin Avenue', 'Nanjing 210023', 'Jiangsu', 'China, Nanjing']"
Alexios Liakos,"['National Observatory of Athens', 'IAASARS', 'Metaxa & Vas. Pavlou St., Penteli', 'GR15236 Athens', 'Greece']"
En-Wei LIANG,"['GUANGXI UNIVERSITY', 'PHYSICS', '100 DAXUE ROAD', 'Nanning 530004', 'Guangxi', 'China, Nanjing']"
Yannick S Libert,"['University of Cape Town', 'Department of Astronomy', 'Private Bag X3', 'Rondebosch', '7701 Cape Town', 'South Africa']"
Carolin Liefke,"['Haus der Astronomie', 'MPIA-Campus', 'Königstuhl 17', '69117 Heidelberg', 'Germany']"
Zhong-Yi LIN,"['National Central University', 'Institute of Astronomy', 'No. 300, Jhongda Rd.', 'Jhongli City, Taoyuan County 32001', '-', 'China, Taipei']"
Elina Johanna Lindfors,"['University of Turku', 'Tuorla Observatory', 'Väisäläntie', 'FI-21500 Piikkiö', 'Finland']"
Tiexin LIU,"['Shanghai Astronomical Observatory', 'Time and frequency Lab', 'No.80 Nandan Road Shanghai', 'Shanghai', 'Shanghai', 'China, Nanjing']"
Qinghui LIU,"['Shanghai Astronomical Observatory', 'Nandan Road 80, Shanghai', 'Shanghai', 'Shanghai', 'China, Nanjing']"
Elisabetta Liuzzo,"['INAF - Istituto di Radioastronomia - Bologna', 'Via P. Gobetti 101', '40129 Bologna', 'Italy']"
Jeffrey C Livas,"['NASA Goddard Space Flight Center', 'Code 663 Gravitational Astrophysics', '8800 Greenbelt Road', 'Greenbelt 20771', 'Maryland (MD)', 'United States']"
James P Lloyd,"['Cornell University', 'Department of Astronomy', '230 Space Sciences', 'Ithaca', 'New York (NY)', 'United States']"
Barbara Lo Faro,"['LAM - Laboratoire d’Astrophysique de Marseille', '38, rue Frédéric Joliot-Curie', '13388 Marseille', 'France']"
Abraham Loeb,"['Harvard University', 'Astronomy', 'Harvard College Observatory', '60 Garden Street, MS-51', 'Cambridge 02138', 'Massachusetts (MA)', 'United States']"
David M. Long,"['University College London', 'Mullard Space Science Laboratory', 'Holmbury House', 'Holmbury St. Mary', 'Dorking RH5 6NT', 'Surrey', 'United Kingdom']"
Leslie Looney,"['University of Illinois', 'Astronomy', '1002 W Green St', 'Urbana', 'Illinois (IL)', 'United States']"
Ilidio P. Ilidio,"['Flat 10', 'London', '93  Peninsula Heights', 'Albert Embankment', 'London SE17TY', 'Greater London', 'United Kingdom']"
Framsol Suspes,"['University of Santo Tomas', 'Department of Basic Sciences', 'Carrera 18 # 9-27', 'Carrera 28 # 19-21', 'Bucaramanga', 'Colombia']"
Arturo López Ariste,"['IRAP', '14, Av. E. Bélin', '31400 Toulouse', 'France']"
Giovanni Losurdo,"['Istituto Nazionale di Fisica Nucleare', 'Sezione di Firenze', 'Via G. Sansone 1', '50019 Sesto Fiorentino', 'Italy']"
Jennifer M Lotz,"['--', 'Chile']"
Catherine Lovekin,"['Mount Allison University', 'Department of Physics', '67 York Street', 'Sackville E4L1C3', 'New Brunswick (NB)', 'Canada']"
Abraham Luna,"['Inst. Nacional de Astrofisica Optica y Electronica', 'Astrophysics', 'Luis Enrique Erro No.1, Sta. Ma. Tonantzintla', 'Tonantzintla-Puebla 72840', 'Mexico']"
Bin Luo,"['Nanjing University', 'School of Astronomy and Space Science', '163 Xianlin Dadao', 'Nanjing 210046', 'Jiangsu', 'China, Nanjing']"
Joseph David Lyman,"['University of Warwick', 'Department of Physics', 'Gibbet Hill Road', 'Coventry CV4 7AL', 'West Midlands', 'United Kingdom']"
Pedro Mota Machado,"['Instituto de Astrofísica e Ciências do Espaço - IA', 'Observatório Astronómico de Lisboa', 'Tapada da Ajuda - Edifício Leste - 2º Piso', '1349-018 Lisboa Lisbon', 'Portugal']"
Robert J. Macke,"['Vatican Observatory', 'Specola Vaticana', 'V-00120 Città del Vaticano', 'Vatican City State']"
John W MacKenty,"['Space Telescope Science Institute', '3700 San Martin Drive', 'Baltimore 21210', 'Maryland (MD)', 'United States']"
Ronald J Maddalena,"['Natonal Radio Astronomy Observatory', 'Scientific Services', 'PO Box 2', 'Green Bank', 'West Virginia (WV)', 'United States']"
Jose M. Madiedo,"['Institute of Astrophysics of Andalusia', 'Solar System Department', 'Glorieta de la Astronomía s/n', 'Apartado 3004', '18080 Granada', 'Spain']"
Thomas I Madura,"['San Jose State University', 'Dept. of Physics & Astronomy', 'Science Bldg 148', 'One Washington Square', 'San Jose 95192-0106', 'California (CA)', 'United States']"
Yoshitomo MAEDA,"['Japan Aerospace Exploration Agency', 'Institute of Space and Astronautical Science', '3-1-1 Yoshinodai, Chuo-ku, Sagamihara-shi', 'Kanagawa 252-5210', 'Kanto', 'Japan']"
Nicolás Pablo Maffione,"['Sede Andina, Universidad Nacional de Río Negro - CONICET', 'Laboratorio de Procesamiento de Señales Aplicado y Computación de Alto Rendimiento', 'Mitre 630', 'San Carlos de Bariloche 8400', 'Río Negro', 'Argentina']"
Ashish Mahabal,"['California Institute of technology', 'Physics Mathematics Astronomy (PMA)', '1200 E California Blvd', 'MC 249-17', 'Pasadena 91125', 'California (CA)', 'United States']"
Francisco F. S. Maia,"['Université Joseph Fourier', 'IPAG', '414, Rue de Piscine', 'Domaine Universitaire', ""38400 Saint Martin d'Heres"", 'France']"
Umberto Maio,"['INAF', 'Osservatorio Astronomico di Trieste', 'via G. Tiepolo 11', '34131 Trieste', 'Italy']"
Wiraporn Maithong,"['Chiang Mai Rajabhat University', 'Chiang Mai Rajabhat University', '202 Chang Phuak Road, Muang', 'Chiang Mai 50300', 'Thailand']"
Martin Makler,"['Brazilian Center for Physics Research', 'Institute of Cosmology Relativity and Astrophysics', 'Rua Dr. Xavier Sigaud, 150', 'Urca', 'Rio de Janeiro 22290-180', 'Rio de Janeiro (RJ)', 'Brazil']"
Maxim A Makukov,"['Fesenkov Astrophysical Institute', 'Laboratory of cosmology, stellar dynamics and computational astrophysics', 'Kamenskoe Plateau, Observatory, 23', '050020 Almaty', 'Kazakhstan']"
Sampoorna Malali,"['Indian Institute of Astrophysics', 'Department of Science and Technology', '2nd Block', 'Koramangala', 'Bengaluru 560034', 'Karnataka', 'India']"
Karim A Malik,"['Queen Mary, University of London', 'School of Physics and Astronomy', 'Queen Mary University of London', 'School of Physics and Astronomy', 'London E1 4NS', 'United Kingdom']"
Lison Malo,"['Canada-France-Hawaii Telescope Corporation', 'Astronomy', '65-1238 Mamalahoa Hwy', 'Kamuela 96743', 'Hawaii (HI)', 'United States']"
Rachel Mandelbaum,"['Carnegie Mellon University', 'Department of Physics', '5000 Forbes Avenue', 'Pittsburgh 15213', 'Pennsylvania (PA)', 'United States']"
Vuk Mandic,"['University of Minnesota', 'School of Physics and Astronomy', '116 Church St SE', 'Minneapolis 55455', 'Minnesota (MN)', 'United States']"
Margot Estelle Mandy,"['University of Northern British Columbia', 'Program in Chemistry', '3333 University Way', 'Prince George V2N 4Z9', 'British Columbia (BC)', 'Canada']"
Antonios Manousakis,"['University of Sharjah', 'Applied Physics & Astronomy', 'P.O. Box 27272', 'Sharjah', 'United Arab Emirates']"
Ilan Manulis,"['Weizmann Institute of Science', 'Particle Physics and Astrophysics', '234 Hetzl Street', 'Rehovot 7610001', 'Israel']"
Mariyana Panayotova Manusheva,"['Institute of Astronomy', 'Tsarigradsko shosse 72', 'Sofia', 'Bulgaria']"
Sivuyile Manxoyi,"['South African Astronomical Observatory', 'SALT Collateral Benefits Program', 'Observatory Road', 'Observatory', '7925 Cape Town', 'South Africa']"
Lucia Marchetti,"['University of Cape Town', 'Department of Astronomy', 'Private Bag X3', 'Rondebosch', '7701 Cape Town, RSA', 'South Africa']"
Franck Marchis,"['SETI Institute', 'Carl Sagan Center', '189 Bernardo Av', 'Carl Sagan Center', 'Mountain View 94043', 'California (CA)', 'United States']"
Francisco J Marco Castillo,"['Universidad Jaume I', 'Matematicas', 'Avda Vicent Sos Baynat, s/n', '12071 Castellon', 'Spain']"
Wagner Luiz Ferreira Marcolino,"['Universidade Federal do Rio de Janeiro', 'Observatório do Valongo', 'Ladeira Pedro Antônio, 43', 'Centro', 'Rio de Janeiro CEP 20.080-090', 'Rio de Janeiro (RJ)', 'Brazil']"
Alexandre Marcowith,"['Laboratoire Univers et Particules de Montpellier', 'Universite Montpellier II Place E.Bataillon cc072', '34095 Montpellier', 'France']"
Frederic Marin,"['Academy of Sciences of the Czech Republic', 'Galaxy and planetary systems', 'Astronomicky ustav AV CR', 'Bocni II 1401', 'CZ-14100 Praha 4', 'Czech Republic']"
Jonathan Peter Marshall,"['Academia Sinica', 'Institute of Astronomy and Astrophysics', '11F Astronomy Mathematics Building, AS-NTU', 'No.1, Section 4, Roosevelt Road', 'Taipei 10617', '-', 'China, Taipei']"
Sarah Martell,"['University of New South Wales', 'School of Physics', 'University of New South Wales School of Physics', 'Sydney 2052', 'New South Wales (NSW)', 'Australia']"
Ivan Marti-Vidal,"['Universitat de València', 'Astronomia i Astrofísica', 'Ed. Invest. Jeroni Munyoz', 'C/Dr. Moliner 50', '46100 Burjassot', 'Spain']"
Nathalie Martimbeau,"['La Maison Léon-Provancher', '1031, rue De Nouë', 'Québec G1W 4L2', 'Quebec (QC)', 'Canada']"
Maria Jose Martínez Usó,"['Universidad Politecnica de Valencia', 'Matematica Aplicada', 'Camino de Vera SN', '46022 Valencia', 'Spain']"
Zita Martins,"['Instituto Superior Técnico (IST)', 'Centro Química-Física Molecular, Departamento de Engenharia Química', 'Avenida Rovisco Pais 1', '1049-001 Lisbon', 'Portugal']"
Gábor Marton,"['Konkoly Observatory, MTA CSFK CSI', 'Konkoly Infrared and Space Astronomy Group', 'Konkoly Thege Miklós út 15-17.', '1121 Budapest', 'Hungary']"
Jose Miguel Mas-Hesse,"['Centro de Astrobiologia (CSIC-INTA)', 'Astrophysics', 'ESA ESAC', 'POB 78', '28691 Villanueva de la Canada', 'Spain']"
Fabrizio Massi,"['Istituto Nazionale di Astrofisica', 'Osservatorio Astrofisico di Arcetri', 'Largo Enrico Fermi, 5', 'I-50125 Firenze', 'Italy']"
Matteo Maturi,"['Heidelberg University', 'Institute for Theoretical Astrophysics', 'Philosophenweg 12', '69120 Heidelberg', 'Germany']"
Christopher D Matzner,"['University of Toronto', 'Astronomy & Astrophysics', '50 St George Street', 'Room 101', 'Toronto M5S3H4', 'Ontario (ON)', 'Canada']"
Jean-Christophe Mauduit,"['11 rue Jean Daudin', '75015 Paris', 'France']"
Anaëlle Maury,"['CEA/IRFU Université Paris Saclay', ""Service d'Astrophysique, Laboratoire AIM"", 'Orme des Merisiers, Bat. 709, CEA/Saclay', '91191 Gif/Yvette', 'France']"
Mark John McCaughrean,"['European Space Agency', 'SRE-A', 'ESTEC', 'Postbus 299', '2200 AG Noordwijk', 'Netherlands']"
David E. McClelland,"['The Australian National University', 'Quantum Science', '38A, Science Road', 'Acton', 'Canberra 2601', 'Australian Capital Territory (ACT)', 'Australia']"
Michael L. McCollough,"['Smithsonian Astrophysical Observatory', 'High Energy Astrophysics', 'Harvard-Smithsonian Center for Astrophysics', '60 Garden Street, MS 67', 'Cambridge 02138', 'Massachusetts (MA)', 'United States']"
Alan Walker McConnachie,"['National Research Council', 'Dominion Astrophysical Observatory', '5071 West Saanich Road', 'Victoria V9E2E7', 'British Columbia (BC)', 'Canada']"
